Arrests by Offense,Appomattox,
,Adult,Juvenile
Murder,2,
Manslaughter,,
Forcible Rape,1,
Robbery,2,
Aggravated Assault,2,
Burglary,,3
Larceny,16,1
Motor Vehicle Theft,1,2
Arson,,
SUBTOTAL FOR PART I OFFENSES,24,6
Other Assaults,37,5
Forgery & Counterfeiting,,
Fraud,1,
Embezzlement,,
"Stolen Property: Buy, Receiving, Poss.",,
Vandalism,1,6
"Weapons: Possessing, Etc.",3,
Prostitution & Commercialized Vice,,
Sex Offenses (except Rape & Prostitution),,
Narcotic Drug Laws: Sale/Manufacture,,
Narcotic Drug Laws: Possession,5,
Gambling,,
Offenses Against the Family,,
Driving Under the Influence,114,1
Liquor Laws,2,
Public Drunkenness,10,
Disorderly Conduct,2,2
All Other (except Traffic),88,9
Curfew & Loitering,,
"Runaways, Juveniles Apprehended",,
SUBTOTAL FOR PART II OFFENSES,263,23
TOTAL,287,29
