Arrests by Offense,Mecklenburg,
,Adult,Juvenile
Murder,3,
Manslaughter,,
Forcible Rape,6,1
Robbery,7,5
Aggravated Assault,28,2
Burglary,34,24
Larceny,91,27
Motor Vehicle Theft,5,2
Arson,6,1
SUBTOTAL FOR PART I OFFENSES,180,62
Other Assaults,147,6
Forgery & Counterfeiting,11,
Fraud,1,
Embezzlement,4,
"Stolen Property: Buy, Receiving, Poss.",3,
Vandalism,12,9
"Weapons: Possessing, Etc.",22,5
Prostitution & Commercialized Vice,,
Sex Offenses (except Rape & Prostitution),2,
Narcotic Drug Laws: Sale/Manufacture,4,
Narcotic Drug Laws: Possession,29,1
Gambling,,
Offenses Against the Family,21,
Driving Under the Influence,324,8
Liquor Laws,56,36
Public Drunkenness,149,
Disorderly Conduct,40,4
All Other (except Traffic),717,15
Curfew & Loitering,,
"Runaways, Juveniles Apprehended",,
SUBTOTAL FOR PART II OFFENSES,"1,542",84
TOTAL,"1,722",146
