Arrests by Offense,Russell,
,Adult,Juvenile
Murder,,
Manslaughter,,
Forcible Rape,3,1
Robbery,7,
Aggravated Assault,21,3
Burglary,19,
Larceny,47,7
Motor Vehicle Theft,5,
Arson,2,
SUBTOTAL FOR PART I OFFENSES,104,11
Other Assaults,154,1
Forgery & Counterfeiting,20,
Fraud,1,
Embezzlement,3,
"Stolen Property: Buy, Receiving, Poss.",2,
Vandalism,4,8
"Weapons: Possessing, Etc.",24,
Prostitution & Commercialized Vice,,
Sex Offenses (except Rape & Prostitution),3,
Narcotic Drug Laws: Sale/Manufacture,1,
Narcotic Drug Laws: Possession,4,1
Gambling,,
Offenses Against the Family,,
Driving Under the Influence,125,
Liquor Laws,10,1
Public Drunkenness,229,1
Disorderly Conduct,67,
All Other (except Traffic),"1,399",31
Curfew & Loitering,,
"Runaways, Juveniles Apprehended",,
SUBTOTAL FOR PART II OFFENSES,"2,046",43
TOTAL,"2,150",54
