Arrests by Offense,Waynesboro,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",8,2
Robbery,0,2
Aggravated Assault,20,4
Simple Assault/Intimidation,85,25
Arson,0,0
Extortion/Blackmail,0,0
Burglary,5,4
Larceny,34,15
Motor Vehicle Theft,4,2
Counterfeiting/Forgery,6,0
Fraud,28,0
Embezzlement,6,0
Stolen Property,0,1
Vandalism,10,3
Drug/Narcotic Offenses,38,2
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,12,1
TOTAL GROUP A,256,61
Bad Checks,8,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,7,1
Driving Under Influence,53,0
Drunkenness,100,2
"Family Offenses, Nonforcible",1,
Liquor Laws Violations,4,7
Peeping Tom,0,0
Runaway,0,34
Trespass of Real Property,16,3
Conspiracy,0,0
All Other (except Traffic),125,22
TOTAL GROUP B,314,69
GRAND TOTAL,570,130
