Arrests by Offense,Rockbridge,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,1,0
"Sex Offenses, Forcible",4,0
Robbery,6,4
Aggravated Assault,0,0
Simple Assault/Intimidation,19,1
Arson,0,0
Extortion/Blackmail,0,0
Burglary,2,
Larceny,7,1
Motor Vehicle Theft,3,1
Counterfeiting/Forgery,3,0
Fraud,3,0
Embezzlement,2,0
Stolen Property,0,0
Vandalism,1,0
Drug/Narcotic Offenses,55,4
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,5,0
TOTAL GROUP A,111,11
Bad Checks,16,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,,
Driving Under Influence,62,1
Drunkenness,17,0
"Family Offenses, Nonforcible",1,
Liquor Laws Violations,8,1
Peeping Tom,0,0
Runaway,0,6
Trespass of Real Property,1,0
Conspiracy,0,0
All Other (except Traffic),37,2
TOTAL GROUP B,142,10
GRAND TOTAL,253,21
