Arrests by Offense,Spotsylvania,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,4,1
"Sex Offenses, Forcible",9,4
Robbery,6,2
Aggravated Assault,30,7
Simple Assault/Intimidation,375,45
Arson,5,0
Extortion/Blackmail,0,0
Burglary,36,12
Larceny,244,41
Motor Vehicle Theft,0,1
Counterfeiting/Forgery,18,0
Fraud,40,3
Embezzlement,34,1
Stolen Property,16,0
Vandalism,72,21
Drug/Narcotic Offenses,223,37
"Sex Offenses, Nonforcible",2,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,26,10
TOTAL GROUP A,"1,141",185
Bad Checks,193,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,11,24
Driving Under Influence,323,3
Drunkenness,208,1
"Family Offenses, Nonforcible",21,
Liquor Laws Violations,46,13
Peeping Tom,1,0
Runaway,0,0
Trespass of Real Property,37,3
Conspiracy,0,1
All Other (except Traffic),607,67
TOTAL GROUP B,1447,112
GRAND TOTAL,2588,297
