Arrests by Offense,Washington,
,Adult,Juvenile
Murder,1,1
Manslaughter,0,0
Kidnaping,2,0
"Sex Offenses, Forcible",3,0
Robbery,2,1
Aggravated Assault,46,0
Simple Assault/Intimidation,181,6
Arson,0,0
Extortion/Blackmail,0,0
Burglary,6,
Larceny,107,2
Motor Vehicle Theft,3,0
Counterfeiting/Forgery,5,0
Fraud,20,0
Embezzlement,5,3
Stolen Property,0,0
Vandalism,11,0
Drug/Narcotic Offenses,34,9
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,7,2
TOTAL GROUP A,433,24
Bad Checks,15,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,3,3
Driving Under Influence,163,5
Drunkenness,149,1
"Family Offenses, Nonforcible",8,1
Liquor Laws Violations,3,2
Peeping Tom,1,0
Runaway,0,3
Trespass of Real Property,25,1
Conspiracy,0,0
All Other (except Traffic),121,50
TOTAL GROUP B,488,66
GRAND TOTAL,921,90
