Officers Assaulted Activity,Number of Offenses,Percent Distribution
"1. Responding to ""Disturbance"" calls (family quarrels, man with gun, etc.)",378,26
2. Burglaries in progress or pursuing burglary suspects,11,0.8
3. Robberies in progress or pursuing robbery suspects,11,0.8
4. Attempting other arrests,371,25.5
"5. Civil disorder (riot, mass disobedience)",26,1.8
"6. Handling, transporting, custody of prisoners",156,10.7
7. Investigating suspicious persons or circumstances,112,7.7
8. Ambush - no warning,10,0.7
9. Mentally deranged,30,2.1
10. Traffic pursuits and stops,156,10.7
11. All Other,195,13.4
12. Total,1456,100
