Arrests by Offense,Staunton,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,3,0
"Sex Offenses, Forcible",11,1
Robbery,5,0
Aggravated Assault,28,2
Simple Assault/Intimidation,341,26
Arson,1,3
Extortion/Blackmail,0,0
Burglary,12,16
Larceny,191,83
Motor Vehicle Theft,15,6
Counterfeiting/Forgery,121,0
Fraud,29,1
Embezzlement,9,0
Stolen Property,1,0
Vandalism,35,19
Drug/Narcotic Offenses,95,21
"Sex Offenses, Nonforcible",1,0
Pornography,4,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,9,5
TOTAL GROUP A,911,183
Bad Checks,80,1
Curfew/Loitering/Vagrancy,,4
Disorderly Conduct,41,21
Driving Under Influence,124,0
Drunkenness,246,2
"Family Offenses, Nonforcible",6,
Liquor Laws Violations,30,38
Peeping Tom,0,0
Runaway,0,59
Trespass of Real Property,30,15
Conspiracy,0,0
All Other (except Traffic),167,15
TOTAL GROUP B,724,155
GRAND TOTAL,1635,338
