Arrests by Offense,Prince Edward,
,Adult,Juvenile
Murder,3,0
Manslaughter,0,0
Kidnaping,5,0
"Sex Offenses, Forcible",4,0
Robbery,3,0
Aggravated Assault,25,0
Simple Assault/Intimidation,117,1
Arson,0,0
Extortion/Blackmail,0,0
Burglary,6,
Larceny,78,4
Motor Vehicle Theft,4,0
Counterfeiting/Forgery,8,0
Fraud,1,0
Embezzlement,1,0
Stolen Property,3,0
Vandalism,18,1
Drug/Narcotic Offenses,46,4
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,2,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,16,0
TOTAL GROUP A,340,10
Bad Checks,52,0
Curfew/Loitering/Vagrancy,1,0
Disorderly Conduct,19,
Driving Under Influence,58,0
Drunkenness,86,4
"Family Offenses, Nonforcible",2,
Liquor Laws Violations,28,6
Peeping Tom,0,0
Runaway,0,1
Trespass of Real Property,19,0
Conspiracy,0,0
All Other (except Traffic),183,1
TOTAL GROUP B,448,12
GRAND TOTAL,788,22
