Arrests by Offense,Hopewell,
,Adult,Juvenile
Murder,2,0
Manslaughter,0,0
Kidnaping,5,1
"Sex Offenses, Forcible",4,0
Robbery,6,3
Aggravated Assault,27,0
Simple Assault/Intimidation,238,0
Arson,0,0
Extortion/Blackmail,0,0
Burglary,11,5
Larceny,46,3
Motor Vehicle Theft,0,0
Counterfeiting/Forgery,5,0
Fraud,3,0
Embezzlement,4,0
Stolen Property,4,0
Vandalism,16,0
Drug/Narcotic Offenses,116,8
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,15,0
TOTAL GROUP A,502,20
Bad Checks,20,0
Curfew/Loitering/Vagrancy,,47
Disorderly Conduct,19,1
Driving Under Influence,16,1
Drunkenness,92,0
"Family Offenses, Nonforcible",8,
Liquor Laws Violations,22,3
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,27,0
Conspiracy,0,0
All Other (except Traffic),266,15
TOTAL GROUP B,470,67
GRAND TOTAL,972,87
