Location,Total
Air/Bus/Train Terminal,37
Bank/Savings & Loan,6
Bar/Night Club,39
Church/Synagogue/Temple,38
Commercial/Offic Building,345
Construction Site,46
Convenience Store,172
Department/Discount Store,51
Drug Store/Dr Office/Hospital,24
Field/Woods,91
Government/Public Building,27
Grocery/Supermarket,46
Highway/Road/Alley,4026
Hotel/Motel/Etc.,140
Jail/Penitentiary,3
Lake/Waterway,7
Liquor Store,1
Parking Lot/Garage,4939
Rental/Storage Facility,67
Residence/Home,5756
Restaurant,88
School/College,78
Service/Gas Station,258
Specialty Store,207
Other/Unknown,817
TOTAL,17309
