Offenses,Under 10,10--12,13--14,15,16,17,Total
Murder/Nonnegligent Manslaughter,0,0,2,3,3,6,14
Negligent Manslaughter,0,0,1,0,1,1,3
Kidnaping/Abduction,0,2,10,3,12,10,37
Forcible Rape,0,5,17,6,16,16,60
Forcible Sodomy,1,14,24,15,10,7,71
Sexual Assault with an Object,1,1,3,4,2,2,13
Forcible Fondling,1,25,52,22,16,18,134
Robbery,2,15,51,57,89,92,306
Aggravated Assault,4,37,135,105,138,168,587
Simple Assault,40,626,1476,952,842,778,4714
Intimidation,0,33,90,44,56,48,271
Arson,12,41,51,28,14,12,158
Extortion/Blackmail,0,0,7,7,3,1,18
Burglary/Breaking & Entering,9,91,234,189,201,279,1003
Pocket Picking,0,1,21,9,34,12,77
Purse Snatching,0,0,1,1,1,3,6
Shoplifting,23,240,681,516,573,540,2573
Theft from Building,1,21,61,35,29,30,177
Theft from Coin-Operated Device,0,0,0,0,0,2,2
Theft from Motor Vehicle,1,8,54,35,68,44,210
Theft of Motor Vehicle Parts,0,1,0,1,9,7,18
All Other Larceny,8,176,465,389,395,421,1854
Motor Vehicle Theft,0,11,90,113,106,96,416
Counterfeiting/Forgery,1,3,7,9,21,32,73
False Pretenses/Swindle/Confidence Game,0,3,7,4,16,20,50
Credit Card/Teller Machine Fraud,0,1,4,4,7,6,22
Impersonation,0,0,0,0,4,6,10
Welfare Fraud,0,0,0,0,0,0,0
Wire Fraud,0,0,0,0,1,0,1
