Arrests by Offense,Lee,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,2,0
"Sex Offenses, Forcible",3,0
Robbery,4,0
Aggravated Assault,4,0
Simple Assault/Intimidation,124,0
Arson,1,0
Extortion/Blackmail,0,0
Burglary,29,0
Larceny,60,0
Motor Vehicle Theft,4,0
Counterfeiting/Forgery,4,0
Fraud,2,0
Embezzlement,0,0
Stolen Property,4,1
Vandalism,10,0
Drug/Narcotic Offenses,36,0
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,1,0
TOTAL GROUP A,288,1
Bad Checks,15,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,1,0
Driving Under Influence,91,0
Drunkenness,84,0
"Family Offenses, Nonforcible",18,0
Liquor Laws Violations,7,1
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,23,0
Conspiracy,0,0
All Other (except Traffic),440,1
TOTAL GROUP B,679,2
GRAND TOTAL,967,3
