Group B Offense Categories,Male,Female,"Rate per 100,000 Inhabitants"
Bad Checks,2470,3454,77.51
Curfew/Loitering/Vagrancy Violations,2155,967,40.85
Disorderly Conduct,4895,2093,91.43
Driving Under the Influence,19301,4564,312.25
Drunkenness,23985,4046,366.76
"Family Offenses, Nonviolent",1048,469,19.85
Liquor Law Violations,8172,2972,145.81
Peeping Tom,73,4,1.01
Runaway,2363,2898,68.84
Trespass of Real Property,7410,1988,122.96
Conspiracy to Commit Group A Offense,76,26,1.33
Conspiracy to Commit Group B Offense,38,9,0.61
All Other Offenses,70774,25481,1259.41
Total Group B Arrests,142760,48971,2508.62
