Arrests by Offense,Salem,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,4,0
"Sex Offenses, Forcible",3,7
Robbery,5,2
Aggravated Assault,12,2
Simple Assault/Intimidation,152,18
Arson,1,0
Extortion/Blackmail,0,0
Burglary,15,12
Larceny,114,21
Motor Vehicle Theft,20,2
Counterfeiting/Forgery,35,0
Fraud,15,0
Embezzlement,10,0
Stolen Property,0,8
Vandalism,26,17
Drug/Narcotic Offenses,109,16
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,11,2
TOTAL GROUP A,532,107
Bad Checks,22,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,48,8
Driving Under Influence,146,2
Drunkenness,215,4
"Family Offenses, Nonforcible",4,0
Liquor Laws Violations,49,15
Peeping Tom,0,0
Runaway,0,1
Trespass of Real Property,19,3
Conspiracy,0,0
All Other (except Traffic),533,18
TOTAL GROUP B,1036,51
GRAND TOTAL,1568,158
