Arrests by Offense,Suffolk,
,Adult,Juvenile
Murder,3,0
Manslaughter,0,0
Kidnaping,18,0
"Sex Offenses, Forcible",10,2
Robbery,18,2
Aggravated Assault,48,2
Simple Assault/Intimidation,436,9
Arson,0,0
Extortion/Blackmail,0,0
Burglary,38,6
Larceny,211,16
Motor Vehicle Theft,0,0
Counterfeiting/Forgery,19,1
Fraud,20,1
Embezzlement,14,0
Stolen Property,10,3
Vandalism,36,1
Drug/Narcotic Offenses,301,7
"Sex Offenses, Nonforcible",1,0
Pornography,0,0
Gambling,3,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,55,7
TOTAL GROUP A,1241,57
Bad Checks,77,0
Curfew/Loitering/Vagrancy,0,65
Disorderly Conduct,80,4
Driving Under Influence,188,0
Drunkenness,137,1
"Family Offenses, Nonforcible",33,0
Liquor Laws Violations,48,3
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,97,7
Conspiracy,0,0
All Other (except Traffic),866,8
TOTAL GROUP B,1526,88
GRAND TOTAL,2767,145
