Arrests by Offense,Amelia ,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",1,0
Robbery,1,0
Aggravated Assault,7,0
Simple Assault/Intimidation,58,2
Arson,0,0
Extortion/Blackmail,0,0
Burglary,4,1
Larceny,6,0
Motor Vehicle Theft,3,1
Counterfeiting/Forgery,4,0
Fraud,2,0
Embezzlement,0,0
Stolen Property,0,0
Vandalism,1,0
Drug/Narcotic Offenses,13,1
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,4,0
TOTAL GROUP A,104,5
Bad Checks,12,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,3,0
Driving Under Influence,39,0
Drunkenness,9,2
"Family Offenses, Nonforcible",0,0
Liquor Laws Violations,0,0
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,5,0
Conspiracy,0,0
All Other (except Traffic),79,1
TOTAL GROUP B,147,3
GRAND TOTAL,251,8
