Arrests by Offense,Giles,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",2,1
Robbery,0,0
Aggravated Assault,9,1
Simple Assault/Intimidation,69,3
Arson,0,0
Extortion/Blackmail,0,0
Burglary,14,0
Larceny,40,1
Motor Vehicle Theft,7,0
Counterfeiting/Forgery,8,0
Fraud,3,0
Embezzlement,1,0
Stolen Property,0,0
Vandalism,16,11
Drug/Narcotic Offenses,29,4
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,2,1
TOTAL GROUP A,200,22
Bad Checks,19,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,5,2
Driving Under Influence,66,3
Drunkenness,58,0
"Family Offenses, Nonforcible",0,0
Liquor Laws Violations,3,3
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,8,0
Conspiracy,3,0
All Other (except Traffic),134,3
TOTAL GROUP B,296,11
GRAND TOTAL,496,33
