Arrests by Offense,Botetourt,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,4,0
"Sex Offenses, Forcible",4,5
Robbery,0,0
Aggravated Assault,8,1
Simple Assault/Intimidation,70,6
Arson,3,2
Extortion/Blackmail,0,0
Burglary,26,2
Larceny,43,16
Motor Vehicle Theft,9,0
Counterfeiting/Forgery,11,0
Fraud,10,0
Embezzlement,4,0
Stolen Property,3,0
Vandalism,34,4
Drug/Narcotic Offenses,180,36
"Sex Offenses, Nonforcible",1,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,4,0
TOTAL GROUP A,414,72
Bad Checks,24,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,6,5
Driving Under Influence,84,0
Drunkenness,91,0
"Family Offenses, Nonforcible",0,0
Liquor Laws Violations,43,31
Peeping Tom,0,0
Runaway,0,11
Trespass of Real Property,7,0
Conspiracy,0,0
All Other (except Traffic),91,12
TOTAL GROUP B,346,59
GRAND TOTAL,760,131
