Arrests by Offense,Halifax,
,Adult,Juvenile
Murder,3,0
Manslaughter,0,0
Kidnaping,3,0
"Sex Offenses, Forcible",5,1
Robbery,4,0
Aggravated Assault,10,1
Simple Assault/Intimidation,100,5
Arson,0,1
Extortion/Blackmail,0,0
Burglary,12,4
Larceny,93,10
Motor Vehicle Theft,6,0
Counterfeiting/Forgery,2,0
Fraud,2,0
Embezzlement,4,0
Stolen Property,1,1
Vandalism,13,2
Drug/Narcotic Offenses,71,7
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,12,3
TOTAL GROUP A,341,35
Bad Checks,112,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,53,10
Driving Under Influence,156,0
Drunkenness,128,1
"Family Offenses, Nonforcible",0,0
Liquor Laws Violations,14,5
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,45,2
Conspiracy,0,0
All Other (except Traffic),760,8
TOTAL GROUP B,1268,26
GRAND TOTAL,1609,61
