Offenses,18,19,20,21,22,23,24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65 & Over,Total
Bad Checks,54,100,113,146,135,146,137,855,829,871,702,493,337,185,85,102,5290
Curfew/Loitering/Vagrancy ,15,2,1,2,0,2,2,14,7,8,6,23,18,8,2,1,111
Disorderly Conduct ,329,257,253,266,252,224,191,744,429,370,379,330,212,104,43,34,4417
Driving Under the Influence ,480,731,917,1220,1316,1301,1152,5282,3592,2881,2849,2710,1810,947,458,393,28039
Drunkenness,785,951,974,1612,1382,1195,1090,4334,3005,3020,3743,3904,2623,1256,500,289,30663
"Family Offenses, Nonviolent ",38,32,33,37,41,51,48,351,272,245,205,164,74,33,10,12,1646
Liquor Laws,2230,2443,1921,336,206,191,139,488,359,386,520,572,480,251,119,71,10712
Peeping Tom,7,9,0,3,2,0,2,5,9,3,5,5,2,3,0,4,59
Runaway*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trespass of Real Property ,739,729,592,457,466,328,317,1211,728,775,894,920,696,348,168,114,9482
Conspiracy to Commit Group A Offense ,4,7,3,1,5,5,4,11,18,12,7,8,2,1,1,0,89
Conspiracy to Commit Group B Offense ,0,3,0,0,0,0,0,5,1,3,1,1,1,0,0,0,15
All Other Offenses ,3029,3812,3909,4160,4061,3841,3481,15668,11272,10298,9367,7680,4560,2141,1045,1038,89362
Total,7710,9076,8716,8240,7866,7284,6563,28968,20521,18872,18678,16810,10815,5277,2431,2058,179885
* This category does not apply to adult arrests. ,,,,,,,,,,,,,,,,,
