Colleges and Universities,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Christopher Newport University PD,,,205,0,0,1,1,3,1,14,0,1,5,109,0,6,1,0,0,52,22,0,0,0,0,0,2
Emory & Henry Campus Police,,,4,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0
Ferrum College Police,,,41,0,0,0,0,0,0,5,0,0,1,20,0,0,1,0,0,8,7,0,0,0,0,0,0
George Mason University PD,,,392,0,1,0,5,2,2,40,0,0,13,209,5,4,16,0,5,71,56,0,0,0,0,0,1
Hampton University PD,,,133,0,0,0,0,3,3,13,0,0,24,64,0,3,4,0,0,21,2,0,0,0,0,0,1
J. Sargeant Reynolds Community College,,,29,0,0,0,0,0,0,4,0,0,0,5,1,1,0,0,0,18,0,0,0,0,0,0,1
James Madison University PD,,,372,0,0,1,1,0,1,26,0,0,7,183,2,1,9,0,3,109,50,0,0,0,0,0,1
Longwood University PD,,,120,0,0,3,2,1,1,18,0,0,14,39,0,0,0,0,0,36,7,0,0,0,0,0,0
Norfolk State University PD,,,288,0,0,2,1,11,4,23,4,0,40,123,9,5,4,2,0,60,6,0,0,0,0,0,5
N. Virginia Comm College PD,,,230,0,0,0,0,0,0,19,0,0,1,152,0,0,2,0,0,67,2,0,0,0,0,0,0
Old Dominion Campus PD,,,519,1,0,1,1,8,4,63,1,0,31,239,6,7,0,1,6,142,13,0,0,0,0,0,4
Radford University PD,,,232,0,0,2,2,0,3,17,5,0,12,77,1,0,0,0,2,90,39,0,1,0,0,0,0
Thomas Nelson Comm Col PD,,,29,0,0,0,0,0,0,1,0,0,0,21,0,0,1,0,0,5,1,0,0,0,0,0,0
University of Mary Washington PD ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Richmond PD,,,221,0,0,0,0,0,2,20,1,0,27,63,2,0,5,0,0,97,25,0,0,0,0,0,0
University of Virginia PD,,,569,0,0,3,3,0,2,78,0,0,62,304,5,4,21,4,0,118,35,0,0,0,0,0,2
UVA's College at Wise PD,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA Commonwealth University PD,,,1144,0,1,1,5,5,16,90,2,1,13,579,17,15,27,0,5,178,220,0,0,0,1,0,58
Virginia Tech Police Department,,,484,0,0,1,4,1,1,41,2,0,61,213,4,11,11,2,2,131,41,0,0,0,0,0,5
VA Western Comm. College PD,,,15,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,0
VMI Post Police,,,57,0,0,0,0,0,3,1,0,1,10,13,0,0,0,0,0,30,0,0,0,0,0,0,0
Virginia State Univ. Police,,,304,0,0,0,3,4,10,34,0,0,4,182,5,1,4,0,1,67,12,0,0,0,0,0,4
William & Mary College PD,,,366,0,0,3,0,0,1,10,0,0,21,216,0,0,6,2,0,109,11,0,0,0,0,0,0
"0–11 For those agencies without full year submission, footnote represents number of months of data submitted ",,,,,,,,,,,,,,,,,,,,,,,,,,,
i Incomplete totals,,,,,,,,,,,,,,,,,,,,,,,,,,,
