TOWNS,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Abingdon PD ,7968,10002.51,797,0,1,5,2,3,7,108,1,0,35,303,7,45,79,14,2,100,113,0,0,0,0,0,9
Altavista PD ,3377,6870,232,0,1,0,2,4,12,50,1,0,19,90,13,3,7,3,0,44,14,0,0,0,0,0,3
Amherst PD ,2208,2219.2,49,0,1,0,1,0,0,5,0,0,1,25,2,1,2,0,0,10,4,0,0,0,0,0,1
Appalachia PD ,1746,7846.5,137,1,1,1,0,0,6,39,0,1,9,38,2,1,3,1,2,14,22,0,1,0,0,0,1
Ashland PD ,7070,8472.41,599,0,0,3,3,8,13,140,1,0,27,211,20,13,41,5,1,144,46,0,0,0,0,0,6
Berryville PD ,3157,6050.04,191,0,0,0,2,3,3,34,0,0,12,72,3,1,9,0,1,52,16,1,0,0,0,0,0
Big Stone Gap PD ,5673,4583.11,260,0,0,3,1,0,1,55,2,0,16,106,2,13,4,1,1,42,42,0,1,0,0,0,3
Blacksburg PD ,41291,3804.7,1571,0,0,7,4,11,36,300,8,0,128,510,26,29,111,7,2,499,74,0,3,0,0,0,10
Blackstone PD ,3529,9039.38,319,0,0,1,0,3,3,55,0,0,17,89,7,15,13,4,2,90,43,1,0,0,0,0,3
Bluefield PD ,5181,6022,312,0,2,1,3,1,11,42,0,0,15,139,5,28,29,6,0,31,34,0,2,0,0,0,2
Bowling Green PD ,1018,294.69,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Boykins PD ,604,1324.5,8,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,2,1,0,0,0,0,0,0
Bridgewater PD ,5379,966.72,52,0,0,0,0,0,0,2,0,0,0,22,5,2,1,2,2,12,8,0,0,0,0,0,0
Broadway PD ,2928,887.97,26,0,2,0,0,0,0,6,0,0,3,6,0,0,0,0,0,7,4,0,0,0,0,0,1
Brookneal PD ,1251,3437.25,43,0,0,0,0,0,2,18,0,0,9,10,3,0,0,0,0,6,4,0,0,0,0,0,0
Burkeville PD ,469,4477.61,21,0,0,0,0,0,0,3,0,0,1,11,0,4,0,0,0,2,1,0,0,0,0,0,0
Cape Charles PD ,1466,1705.32,25,0,1,0,0,0,0,3,0,0,1,8,0,0,0,0,0,8,4,0,0,0,0,0,1
Cedar Bluff PD11 ,1046,3441.68,36,0,0,0,0,0,0,0,0,0,4,18,1,2,2,1,0,1,8,0,0,0,0,0,0
Chase City PD ,2325,6451.61,150,0,0,0,1,2,4,11,1,0,14,59,2,3,6,0,0,46,9,0,0,0,0,0,1
Chatham PD ,1267,1578.53,20,0,0,0,0,1,0,2,0,0,0,8,0,1,1,0,0,8,0,0,0,0,0,0,0
Chilhowie PD ,1755,4102.56,72,1,0,0,0,0,1,15,0,0,4,28,0,8,2,0,0,11,4,0,0,0,0,0,1
Chincoteague PD ,4308,3435.46,148,0,0,0,0,0,3,22,0,0,20,55,4,1,2,1,0,22,27,0,1,0,0,0,4
Christiansburg PD ,19176,9037.33,1733,2,4,14,20,9,25,474,3,1,128,640,30,43,132,33,6,218,182,1,6,0,3,0,24
Clarksville PD11 ,1260,4603.17,58,1,0,0,0,1,1,5,1,0,1,28,0,2,1,0,1,15,3,0,0,0,0,0,0
Clifton Forge PD ,3982,4319.43,172,0,2,1,1,0,5,27,1,0,18,44,1,4,5,0,1,55,17,0,0,0,0,0,1
Clinchco PD ,406,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clintwood PD ,1503,5788.42,87,0,0,0,0,0,2,4,1,0,10,37,0,14,10,0,0,16,5,0,0,0,0,0,2
Coeburn PD11 ,1986,5186.3,103,0,0,0,2,0,2,19,0,0,12,44,0,4,0,0,5,12,10,0,0,0,0,0,1
Colonial Beach PD ,3716,7669.53,285,0,0,2,2,1,10,49,0,0,27,98,3,0,5,2,1,69,36,0,0,0,0,0,5
Courtland PD ,1248,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crewe PD ,2268,8112.87,184,0,0,0,0,6,3,23,1,0,19,58,3,4,1,1,0,62,4,0,0,0,0,0,3
Culpeper PD ,13497,10135.58,1368,0,6,3,10,20,36,373,11,0,43,416,20,32,70,16,8,359,139,1,0,0,0,0,23
Damascus PD ,1072,7182.83,77,0,0,0,0,0,0,8,0,0,3,30,1,1,2,0,0,10,22,0,0,0,0,0,3
Dayton PD ,1353,3547.67,48,0,0,0,0,0,0,14,0,0,1,10,1,1,11,0,0,5,9,0,0,0,0,0,2
Dublin PD ,2208,4755.43,105,0,1,1,0,0,0,13,1,0,6,57,1,6,1,2,1,19,3,0,0,0,0,0,3
Dumfries PD ,4818,6932.33,334,0,3,1,1,4,5,29,2,0,36,111,20,5,9,2,2,103,28,0,6,0,0,0,9
Edinburg PD ,867,1268.74,11,0,0,0,0,0,0,1,0,0,0,5,0,0,1,0,0,2,2,0,0,0,0,0,0
Elkton PD ,2620,2519.08,66,0,0,0,0,1,1,11,0,0,4,23,1,2,1,1,0,21,6,0,0,0,0,0,1
Exmore PD ,1355,6494.46,88,0,0,0,1,2,0,5,0,0,7,42,2,3,4,1,0,19,2,0,0,0,0,0,0
Farmville PD ,7172,4726.71,339,2,0,1,2,8,7,21,0,0,22,130,5,15,30,13,2,31,76,0,0,0,0,0,2
Fries PD ,558,179.21,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Front Royal PD ,14565,11239.27,1637,0,1,9,14,11,16,495,0,0,55,619,32,40,48,6,1,356,86,2,1,0,0,0,11
Gate City PD ,2056,5690.66,117,0,1,1,0,1,1,21,1,0,10,44,2,8,1,1,1,15,20,0,0,0,0,0,1
Glade Spring PD ,1522,525.62,8,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0
Glasgow PD ,1013,691.01,7,0,0,0,0,0,0,2,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Glen Lyn PD ,163,9202.45,15,0,0,0,0,0,0,0,0,0,2,8,1,0,0,1,0,2,4,0,1,0,0,0,0
Gordonsville PD ,1677,7215.26,121,0,0,0,0,0,3,21,0,0,4,25,1,1,1,0,2,46,24,0,0,0,0,0,6
Gretna PD ,1194,1926.29,23,0,0,0,0,0,0,3,0,0,7,10,0,0,0,0,0,2,1,0,0,0,0,0,0
Grottoes PD ,2180,2522.93,55,0,1,1,0,2,3,6,1,0,1,15,0,1,3,0,0,11,11,0,0,0,0,0,0
Grundy PD10 ,975,717.94,7,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0
Halifax PD ,1272,3537.73,45,0,0,0,1,0,1,6,0,0,0,18,2,1,1,0,0,11,4,0,0,0,0,0,1
Haymarket PD ,1219,4757.99,58,0,0,0,0,0,2,9,1,0,0,9,0,0,4,1,0,5,27,0,0,0,0,0,3
Haysi PD ,178,1123.59,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
