Arrests by Offense,Patrick,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,2,0
"Sex Offenses, Forcible",5,0
Robbery,3,0
Aggravated Assault,15,0
Simple Assault/Intimidation,84,0
Arson,0,0
Extortion/Blackmail,1,0
Burglary,18,0
Larceny,56,0
Motor Vehicle Theft,7,1
Counterfeiting/Forgery,9,0
Fraud,6,0
Embezzlement,4,0
Stolen Property,1,0
Vandalism,9,2
Drug/Narcotic Offenses,71,0
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,14,0
TOTAL GROUP A,305,3
Bad Checks,14,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,1,0
Driving Under Influence,37,0
Drunkenness,53,0
"Family Offenses, Nonforcible",3,0
Liquor Laws Violations,2,0
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,15,0
Conspiracy,1,0
All Other (except Traffic),197,2
TOTAL GROUP B,323,2
GRAND TOTAL,628,5
