Arrests by Offense,Sussex,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,1,0
"Sex Offenses, Forcible",3,0
Robbery,1,0
Aggravated Assault,9,2
Simple Assault/Intimidation,42,5
Arson,0,2
Extortion/Blackmail,0,0
Burglary,2,0
Larceny,22,4
Motor Vehicle Theft,3,1
Counterfeiting/Forgery,3,0
Fraud,1,1
Embezzlement,0,0
Stolen Property,1,0
Vandalism,6,5
Drug/Narcotic Offenses,129,8
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,8,0
TOTAL GROUP A,231,28
Bad Checks,4,0
Curfew/Loitering/Vagrancy,0,1
Disorderly Conduct,6,3
Driving Under Influence,87,0
Drunkenness,21,0
"Family Offenses, Nonforcible",0,0
Liquor Laws Violations,4,0
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,20,5
Conspiracy,2,0
All Other (except Traffic),266,16
TOTAL GROUP B,410,25
GRAND TOTAL,641,53
