Cities and State Police,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Alexandria PD ,141738,4713.62,6681,5,20,12,9,146,138,1320,4,3,324,2756,345,50,324,50,83,1651,465,0,0,7,29,2,36
State Police ,,,16,0,0,0,0,0,1,2,0,0,0,0,2,0,10,0,0,0,2,0,1,0,0,0,0
Bedford PD ,6083,9058.03,551,0,3,4,4,5,11,178,0,0,26,174,10,22,13,1,1,101,55,0,0,0,0,0,11
State Police ,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bristol PD ,17794,9576.26,1704,0,3,5,22,11,39,432,5,0,109,495,25,119,70,10,13,280,215,0,2,0,1,0,32
State Police ,,,20,0,0,0,0,0,1,0,0,0,0,2,0,0,17,0,0,0,0,0,0,0,0,0,0
Buena Vista PD ,6553,3341.98,219,0,0,0,8,2,7,29,2,0,2,100,2,0,6,1,1,49,21,0,0,0,0,0,6
State Police ,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
Charlottesville PD ,40317,11751.86,4738,0,22,35,32,88,125,1089,9,1,187,1785,125,37,177,21,2,1432,332,2,26,0,6,0,75
State Police ,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
Chesapeake PD ,219960,6882.61,15139,13,102,45,107,302,613,4791,30,3,1344,6226,427,248,1021,133,27,270,1512,12,12,2,11,1,314
State Police ,,,41,0,0,0,0,0,0,0,0,0,0,1,2,0,23,0,0,0,12,0,0,0,4,0,2
Colonial Heights PD ,17638,9360.47,1651,0,11,2,9,22,24,205,7,0,66,748,34,58,100,38,6,200,263,0,2,0,0,0,35
State Police ,,,41,0,0,0,0,0,1,0,0,0,0,0,0,1,32,0,0,0,8,0,0,0,0,0,0
Covington PD ,5957,8846.73,527,1,2,6,6,2,11,203,8,0,30,142,6,11,5,3,1,129,26,0,2,0,0,0,9
State Police ,,,54,0,0,0,0,0,0,1,0,0,0,2,0,0,3,0,0,0,50,0,0,0,0,0,0
Danville PD ,45232,12006.98,5431,8,19,7,4,80,85,1413,13,0,515,1729,72,86,223,31,0,951,496,0,1,4,15,1,206
State Police ,,,18,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,3,0,0,0,0,0,0
Emporia PD ,5861,14434.39,846,0,2,5,4,10,28,195,2,0,63,267,15,52,22,2,1,204,78,2,1,1,0,0,16
State Police ,,,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,0,0,0,0
Fairfax PD ,24702,5064.36,1251,0,2,1,8,15,11,277,6,2,35,573,22,10,84,7,2,218,54,0,1,0,2,0,11
State Police ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falls Church PD ,11711,5738.19,672,0,0,3,5,6,7,85,5,0,18,284,18,13,35,3,2,189,42,0,0,0,0,0,7
State Police ,,,3,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Franklin PD ,8362,10751.01,899,1,1,2,4,14,14,227,6,0,66,282,11,40,16,12,6,195,62,1,0,0,0,0,34
State Police ,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Fredericksburg PD ,22902,11885.42,2722,2,14,6,16,22,85,770,4,0,98,980,25,35,246,21,6,439,329,1,3,0,3,1,24
State Police ,,,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,1
Galax PD ,6798,11473.96,780,1,2,0,5,4,23,218,2,1,38,267,7,28,48,40,8,141,55,2,2,0,2,0,16
State Police ,,,11,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0
Hampton PD ,144749,7612.48,11019,11,27,27,84,196,221,2134,31,0,800,4043,408,106,479,126,43,2473,1008,4,8,3,14,0,407
State Police ,,,101,0,0,0,0,0,2,0,0,0,0,2,0,0,58,0,0,0,36,0,0,0,0,0,10
Harrisonburg PD ,46896,5891.76,2763,0,7,10,11,27,98,480,5,1,187,1009,58,41,174,20,15,775,310,1,1,0,1,0,53
State Police ,,,268,0,0,0,0,0,1,0,0,0,0,3,1,3,11,0,2,0,251,0,0,0,0,0,5
Hopewell PD ,23326,9937.4,2318,4,4,13,17,70,120,662,11,0,275,525,70,28,72,10,14,475,220,1,3,3,0,0,47
State Police ,,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,7,0,0,0,1,0,0
Lexington PD ,7282,1922.54,140,0,0,0,2,0,1,16,2,0,6,51,3,5,8,2,0,28,25,0,0,0,0,0,2
State Police ,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Lynchburg PD ,72371,8713.43,6306,0,30,21,93,81,239,2126,14,1,381,1752,110,82,285,29,18,1207,798,2,3,4,17,0,171
State Police ,,,35,0,0,0,0,1,1,1,0,0,0,1,0,0,20,0,0,0,13,0,0,0,0,0,0
Manassas PD ,36213,7848.01,2842,2,22,10,30,56,106,731,8,3,152,867,91,44,208,16,2,699,246,3,11,2,1,0,31
State Police ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manassas Park PD ,14026,4163.69,584,0,4,0,17,5,6,124,1,1,15,180,19,7,27,1,5,130,95,0,0,0,0,0,12
State Police ,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinsville PD ,14841,9473.75,1406,0,1,2,9,9,28,284,8,0,90,389,23,26,55,7,0,402,110,2,0,0,0,0,27
State Police ,,,38,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,34,0,0,0,0,0,0
Newport News PD ,182591,8551.35,15614,19,96,52,96,379,522,4106,82,3,1187,4483,464,253,731,68,50,3070,1573,3,6,3,61,1,874
State Police ,,,80,0,0,0,0,0,3,1,0,0,0,4,1,0,43,0,0,1,29,0,0,0,0,0,3
Norfolk PD ,237764,10182.78,24211,34,51,102,191,633,778,4212,42,1,1934,10108,957,239,470,69,38,4141,712,5,4,1,268,2,149
State Police ,,,145,0,0,0,0,0,3,1,0,0,0,3,3,4,99,0,0,0,29,0,0,0,0,0,7
Norton PD ,4054,10138.13,411,0,0,2,1,2,5,38,1,0,18,267,2,13,11,1,1,45,64,0,0,0,1,0,11
State Police ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petersburg PD ,30513,15062.43,4596,6,23,12,17,122,170,773,0,0,665,1308,251,39,120,14,13,898,449,0,0,2,8,0,150
State Police ,,,41,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,1,33,0,0,0,0,0,3
Poquoson PD ,11881,4267.31,507,0,3,4,7,1,23,177,4,0,24,133,11,7,17,1,0,103,58,0,0,0,0,0,13
State Police ,,,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0
Portsmouth PD ,98124,12496.43,12262,17,67,21,24,353,324,2990,14,2,1192,4282,298,119,566,62,50,3249,653,4,2,9,28,0,337
State Police ,,,22,0,0,0,0,0,0,0,0,0,0,2,1,0,11,0,0,0,8,0,0,0,0,0,1
Radford PD ,15142,9496.76,1438,1,4,15,19,8,56,355,5,1,167,335,13,20,82,3,4,316,247,0,3,0,1,0,23
State Police ,,,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Richmond PD ,198102,11028.15,21847,37,77,35,93,851,714,4800,60,5,1568,5870,977,338,804,73,33,3897,2589,7,5,0,167,0,715
State Police ,,,108,0,0,0,0,0,11,2,0,0,0,5,2,6,12,0,0,3,83,0,0,0,0,0,6
Roanoke PD ,93304,14384.16,13421,9,22,26,47,184,420,4743,45,3,896,3846,292,127,395,83,6,2087,1451,2,12,5,101,0,268
State Police ,,,58,0,0,0,0,0,1,1,1,0,0,0,0,2,20,1,0,1,31,0,0,0,0,0,1
Salem PD ,25163,6183.68,1556,0,3,5,8,8,19,313,4,1,88,668,37,27,56,20,4,286,226,0,2,0,1,0,43
State Police ,,,27,0,0,0,0,0,0,0,1,0,0,1,0,0,8,0,0,0,16,0,0,0,0,0,1
Staunton PD ,23473,6624.63,1555,2,7,2,17,7,20,299,5,0,60,469,19,21,153,24,7,291,207,2,6,0,0,0,26
State Police ,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Suffolk PD ,83006,6875.4,5707,6,21,35,71,81,170,1740,41,0,460,1656,92,87,208,24,14,1043,448,3,7,5,3,0,137
State Police ,,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
Virginia Beach PD ,434412,6573.25,28555,18,64,71,147,453,372,6751,107,2,2032,10778,579,459,1439,185,55,4455,2357,6,21,19,59,0,567
State Police ,,,159,0,0,0,0,0,2,1,0,0,0,2,2,6,99,1,0,0,46,0,0,0,0,0,6
Waynesboro PD ,20712,8265.73,1712,0,11,9,24,21,37,448,4,1,113,662,30,54,95,11,6,307,130,0,1,0,3,0,35
State Police ,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Williamsburg PD ,13572,3676.68,499,1,9,0,1,8,17,127,0,1,12,196,10,10,20,1,3,85,61,0,0,0,1,0,9
State Police ,,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,16,0,0,0,0,0,1
Winchester PD ,26383,10309.66,2720,0,13,9,41,40,35,694,4,1,156,989,40,74,179,34,17,476,364,3,2,0,4,0,53
State Police ,,,210,0,0,0,0,0,2,0,0,0,0,1,0,0,3,0,1,22,182,0,0,0,0,0,3
"0-11 For those agencies without full year submission, footnote represents number of months of data submitted. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
