Arrests by Offense,Pittsylvania,
,Adult,Juvenile
Murder,4,0
Manslaughter,0,0
Kidnaping,10,0
"Sex Offenses, Forcible",7,0
Robbery,4,0
Aggravated Assault,21,1
Simple Assault/Intimidation,338,10
Arson,0,0
Extortion/Blackmail,0,0
Burglary,33,6
Larceny,76,2
Motor Vehicle Theft,4,0
Counterfeiting/Forgery,3,0
Fraud,4,0
Embezzlement,1,0
Stolen Property,1,0
Vandalism,24,0
Drug/Narcotic Offenses,131,2
"Sex Offenses, Nonforcible",2,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,23,0
TOTAL GROUP A,686,21
Bad Checks,40,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,9,0
Driving Under Influence,135,1
Drunkenness,122,0
"Family Offenses, Nonforcible",84,0
Liquor Laws Violations,6,8
Peeping Tom,1,0
Runaway,0,0
Trespass of Real Property,49,0
Conspiracy,0,0
All Other (except Traffic),532,7
TOTAL GROUP B,978,16
GRAND TOTAL,1664,37
