Arrests by Offense,Surry,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",3,2
Robbery,4,0
Aggravated Assault,2,1
Simple Assault/Intimidation,31,2
Arson,0,0
Extortion/Blackmail,0,0
Burglary,2,0
Larceny,14,1
Motor Vehicle Theft,0,0
Counterfeiting/Forgery,1,0
Fraud,1,0
Embezzlement,0,0
Stolen Property,0,1
Vandalism,8,0
Drug/Narcotic Offenses,13,0
"Sex Offenses, Nonforcible",1,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,2,0
TOTAL GROUP A,82,7
Bad Checks,0,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,2,0
Driving Under Influence,4,0
Drunkenness,6,0
"Family Offenses, Nonforcible",2,0
Liquor Laws Violations,6,2
Peeping Tom,0,0
Runaway,0,1
Trespass of Real Property,18,2
Conspiracy,1,0
All Other (except Traffic),46,1
TOTAL GROUP B,85,6
GRAND TOTAL,167,13
