Arrests by Offense,Isle of Wight,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,4,0
"Sex Offenses, Forcible",5,2
Robbery,1,0
Aggravated Assault,6,0
Simple Assault/Intimidation,99,3
Arson,1,0
Extortion/Blackmail,0,0
Burglary,20,0
Larceny,45,1
Motor Vehicle Theft,0,0
Counterfeiting/Forgery,2,0
Fraud,8,0
Embezzlement,4,0
Stolen Property,2,0
Vandalism,6,2
Drug/Narcotic Offenses,40,1
"Sex Offenses, Nonforcible",1,0
Pornography,0,0
Gambling,0,0
Prostitution,2,0
Bribery,0,0
Weapon Law Violations,9,2
TOTAL GROUP A,255,11
Bad Checks,5,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,7,0
Driving Under Influence,105,0
Drunkenness,19,0
"Family Offenses, Nonforcible",5,0
Liquor Laws Violations,9,1
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,16,0
Conspiracy,0,0
All Other (except Traffic),137,2
TOTAL GROUP B,303,3
GRAND TOTAL,558,14
