Arrests by Offense,Pulaski,
,Adult,Juvenile
Murder,3,0
Manslaughter,0,0
Kidnaping,6,0
"Sex Offenses, Forcible",13,1
Robbery,6,0
Aggravated Assault,23,4
Simple Assault/Intimidation,211,6
Arson,1,0
Extortion/Blackmail,1,0
Burglary,35,4
Larceny,317,9
Motor Vehicle Theft,10,1
Counterfeiting/Forgery,59,0
Fraud,53,0
Embezzlement,31,0
Stolen Property,1,0
Vandalism,45,2
Drug/Narcotic Offenses,207,4
"Sex Offenses, Nonforcible",1,0
Pornography,2,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,26,1
TOTAL GROUP A,1051,32
Bad Checks,79,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,17,1
Driving Under Influence,102,0
Drunkenness,232,0
"Family Offenses, Nonforcible",11,1
Liquor Laws Violations,13,3
Peeping Tom,0,0
Runaway,0,4
Trespass of Real Property,33,0
Conspiracy,0,0
All Other (except Traffic),820,80
TOTAL GROUP B,1307,89
GRAND TOTAL,2358,121
