Age,Victim,,Offender,,
,Male,Female,Male,Female,Unknown
Under 10 ,6,48,1,,
10--12 ,2,92,6,1,
13--14 ,,121,40,,
15,,105,31,4,
16,1,72,39,2,
17,,75,47,,
18,,69,61,1,
19,,68,65,1,
20,,50,63,1,1
21,1,51,41,,
22,2,58,51,1,
23,,47,47,,
24,,41,31,1,
25-29 ,,159,164,1,
30-34 ,,93,161,1,
35-39 ,,63,101,2,
40-44 ,,73,94,1,
45-49 ,,56,78,,
50-54 ,1,34,49,,
55-59 ,,12,34,,
60-64 ,,11,19,1,
65 & Over ,,18,21,,
Unknown Age ,,7,92,,71
TOTAL ,13,1423,1336,18,72
White ,7,1011,771,14,
Black ,6,370,508,3,1
Am. Ind. or Alaskan Native ,,,,,
Asian or Pacific Islander ,,18,17,1,
Unknown Race ,,24,40,,71
TOTAL ,13,1423,1336,18,72
