Arrests by Offense,Chesapeake,
,Adult,Juvenile
Murder,8,0
Manslaughter,0,0
Kidnaping,28,3
"Sex Offenses, Forcible",20,5
Robbery,18,4
Aggravated Assault,126,21
Simple Assault/Intimidation,946,25
Arson,2,1
Extortion/Blackmail,1,0
Burglary,66,5
Larceny,846,31
Motor Vehicle Theft,25,3
Counterfeiting/Forgery,90,0
Fraud,139,1
Embezzlement,57,0
Stolen Property,30,1
Vandalism,79,2
Drug/Narcotic Offenses,1489,69
"Sex Offenses, Nonforcible",1,0
Pornography,7,0
Gambling,3,0
Prostitution,18,0
Bribery,0,0
Weapon Law Violations,69,5
TOTAL GROUP A,4068,176
Bad Checks,10,0
Curfew/Loitering/Vagrancy,14,32
Disorderly Conduct,29,1
Driving Under Influence,914,0
Drunkenness,537,1
"Family Offenses, Nonforcible",3,0
Liquor Laws Violations,99,13
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,174,5
Conspiracy,31,10
All Other (except Traffic),2817,85
TOTAL GROUP B,4628,147
GRAND TOTAL,8696,323
