Type Injury Sustained By Violent Offense,Aggravated Assault*,Forcible Rape,Forcible Sodomy,Sexual Assault with an Object,Forcible Fondliing,Robbery
None ,3122,1037,477,224,2317,4019
Apparent Broken Bones ,474,1,1,1,0,47
Possible Internal Injury ,455,77,24,19,34,69
Severe Laceration ,1646,3,2,1,0,119
Apparent Minor Injury ,2446,284,67,52,190,1121
Other Major Injury ,1370,41,13,6,32,132
Loss of Teeth ,108,1,0,0,0,11
Unconsciousness,235,7,0,1,0,24
Total Injuries ,6734,414,107,80,256,1523
"*Assaults are classified as ‘aggravated’ if a weapon is used, even if there is no injury to the victim. All other violent offenses include attempts.",,,,,,
