Agency,Date Seized,DCJS Seizure #,Property #,Property Description,Disposition Code,Property Value,998 Rcvd,1st 999 Rcvd,2nd 999 Rcvd,3rd 999 Rcvd,Disbursal Total,Disbursement Date
Christiansburg Police Department,06/19/2008,08-FS17812,01,1991 DODGE VAN,Pending,"$1,500.00",06/26/2008,,,,$0.00,
Christiansburg Police Department,12/19/2008,10-FS10902,01,"$1,611.00 U.S. CURRENCY",Forfeiture,"$1,611.00",04/19/2010,05/11/2010,,,"$1,611.00",05/11/2010
Christiansburg Police Department,09/11/2009,10-FS26701,01,"$6,052.00 U.S. CURRENCY",Forfeiture,"$6,052.00",09/24/2009,06/08/2010,,,"$6,052.00",06/08/2010
Christiansburg Police Department,03/02/2010,10-FS12001,01,"$1,432.00 U.S. CURRENCY",Forfeiture,"$1,432.00",04/30/2010,08/04/2010,,,"$1,432.00",08/04/2010
Christiansburg Police Department,03/02/2010,10-FS12001,02,"46"" SAMSUNG TELEVISION",Forfeiture,$500.00,04/30/2010,08/04/2010,,,$0.00,01/17/2012
Christiansburg Police Department,08/12/2010,11-FS23002,01,1996 DODGE,Pending,"$2,000.00",08/18/2010,,,,$0.00,
Christiansburg Police Department,08/22/2010,13-FS10908,01,$963.00 U.S. Currency,Forfeiture,$963.00,04/19/2013,09/12/2012,,,$963.00,09/12/2012
Christiansburg Police Department,12/30/2010,11-FS08303,01,"$3,010.00 U.S. CURRENCY",Pending,"$3,010.00",03/24/2011,,,,$0.00,
Christiansburg Police Department,05/11/2011,12-FS28604,01,1999 CADILLAC ESCALADE,Forfeiture,"$2,000.00",10/13/2011,04/13/2012,09/12/2012,,"$2,780.20",09/12/2012
Christiansburg Police Department,05/11/2011,12-FS28604,02,"$3,274.00 U.S. CURRENCY",Forfeiture,"$3,274.00",10/13/2011,04/24/2012,,,"$3,274.00",04/24/2012
Christiansburg Police Department,10/25/2011,12-FS30802,01,$767.00 U.S. CURRENCY,Forfeiture,$767.00,11/04/2011,09/12/2012,,,$767.00,09/12/2012
Christiansburg Police Department,12/24/2011,12-FS01713,01,2000 Cadillac DTS,Pending,"$5,000.00",01/17/2012,,,,$0.00,
Christiansburg Police Department,12/28/2011,12-FS36501,01,$538.00 U.S. CURRENCY,Forfeiture,$538.00,12/31/2011,04/30/2012,,,$538.00,04/30/2012
Christiansburg Police Department,10/28/2012,13-FS30509,01,2005 SUBARU IMPREZA,Return To Owner,"$2,000.00",10/31/2012,12/16/2013,,,$0.00,12/16/2013
Christiansburg Police Department,12/07/2012,13-FS34921,01,"$1,746.00 U.S. Currency",Forfeiture,"$1,746.00",12/14/2012,05/13/2013,,,"$1,746.00",05/13/2013
Christiansburg Police Department,05/02/2013,13-FS12301,01,2004 DODGE  Stratus-4 Cyl.,Pending,"$3,600.00",05/03/2013,04/14/2014,,,$0.00,04/14/2014
Christiansburg Police Department,05/07/2013,13-FS13601,01,2006 SUZUKI  Aerio-4 Cyl.,Pending,"$3,500.00",05/16/2013,,,,$0.00,
Christiansburg Police Department,09/05/2013,14-FS29501,01,1994 SUBARU  Legacy,Pending,$612.00,10/22/2013,,,,$0.00,
Christiansburg Police Department,12/09/2013,14-FS34402,01,2000 BUICK  Regal,Pending,"$2,750.00",12/10/2013,,,,$0.00,
Christiansburg Police Department,05/07/2014,14-FS13216,01,2013 SUBARU  Impreza-4 Cyl.,Pending,"$15,900.00",05/12/2014,09/22/2014,,,$0.00,09/22/2014
Christiansburg Police Department,05/07/2014,14-FS13216,02,$702.00 U.S. Currency,Forfeiture,$702.00,05/12/2014,09/22/2014,,,$702.00,09/22/2014
Christiansburg Police Department,05/07/2014,15-FS20621,01,$702.00 U.S. Currency,Pending,$702.00,07/25/2014,,,,$0.00,
Christiansburg Police Department,05/13/2014,14-FS13442,01,"$2,430.00 U.S. Currency",Pending,"$2,430.00",05/14/2014,,,,$0.00,
Christiansburg Police Department,05/15/2014,14-FS13672,01,$877.00 U.S. Currency,Forfeiture,$877.00,05/16/2014,12/08/2014,,,$877.00,12/08/2014
Christiansburg Police Department,06/22/2014,14-FS18159,01,1998 VOLVO  WAGON,Pending,"$1,000.00",06/30/2014,,,,$0.00,
Christiansburg Police Department,06/22/2014,14-FS18159,02,"$1,197.00 U.S. Currency",Pending,"$1,197.00",06/30/2014,,,,$0.00,
Christiansburg Police Department,09/05/2014,15-FS25940,01,2004 GMC LIGHT DUTY  Yukon XL-V8,Pending,"$3,000.00",09/25/2014,,,,$0.00,
Christiansburg Police Department,09/16/2014,15-FS26886,01,2002 SUBARU  Impreza-4 Cyl.,Pending,"$1,500.00",09/25/2014,,,,$0.00,
Christiansburg Police Department,09/16/2014,15-FS26886,02,"$1,849.00 U.S. Currency",Pending,"$1,849.00",09/25/2014,,,,$0.00,
Christiansburg Police Department,12/11/2014,15-FS35003,01,"$8,812.00 U.S. Currency",Pending,"$8,812.00",12/17/2014,,,,$0.00,
Christiansburg Police Department,12/30/2014,15-FS01509,01,$770.00 U.S. Currency,Pending,$770.00,01/15/2015,,,,$0.00,
