Agency,Date Seized,DCJS Seizure #,Property #,Property Description,Disposition Code,Property Value,998 Rcvd,1st 999 Rcvd,2nd 999 Rcvd,3rd 999 Rcvd,Disbursal Total,Disbursement Date
Grayson County Sheriff's Office,08/13/2009,10-FS23601,01,"$2,755.00 U.S. CURRENCY",Forfeiture,"$2,755.00",08/24/2009,03/17/2010,,,"$2,460.00",03/17/2010
Grayson County Sheriff's Office,10/08/2009,10-FS29907,01,"$7,722.00 U.S. CURRENCY",Forfeiture,"$7,722.00",10/26/2009,10/15/2010,,,"$7,722.00",10/15/2010
Grayson County Sheriff's Office,12/09/2009,11-FS30503,01,"$1,403.00 U.S. CURRENCY",Pending,"$1,403.00",11/01/2010,,,,$0.00,
Grayson County Sheriff's Office,07/04/2010,11-FS19701,01,"$1,751.00 U.S. CURRENCY",Forfeiture,"$1,751.00",07/16/2010,11/18/2010,,,"$1,751.00",11/18/2010
Grayson County Sheriff's Office,07/19/2010,11-FS20401,01,"$1,970.00 U.S. CURRENCY",Forfeiture,"$1,970.00",07/23/2010,12/17/2010,,,"$1,970.00",12/17/2010
Grayson County Sheriff's Office,08/05/2010,11-FS24210,01,$593.00 U.S. CURRENCY,Forfeiture,$593.00,08/30/2010,03/03/2011,,,$585.00,03/03/2011
Grayson County Sheriff's Office,09/14/2010,11-FS27103,01,$784.53 U.S. CURRENCY,Return To Owner,$784.53,09/28/2010,10/23/2012,,,$0.00,10/23/2012
Grayson County Sheriff's Office,02/05/2011,11-FS04104,01,1989 PONTIAC BONNEVILLE,Forfeiture,$500.00,02/10/2011,10/23/2012,,,$0.00,10/23/2012
Grayson County Sheriff's Office,02/15/2011,11-FS05301,01,1994 CHEVROLET LUMINA,Forfeiture,$900.00,02/22/2011,11/21/2011,,,$650.00,11/21/2011
Grayson County Sheriff's Office,03/09/2011,11-FS08001,01,$571.47 U.S. CURRENCY,Forfeiture,$571.47,03/21/2011,07/01/2011,,,$571.47,07/01/2011
Grayson County Sheriff's Office,11/10/2011,12-FS32504,01,1997 Mercedes C230,Forfeiture,"$3,900.00",11/21/2011,11/06/2012,,,"$1,350.00",11/06/2012
Grayson County Sheriff's Office,02/17/2012,12-FS05805,01,2004 CHEVROLET TRAILBLAZER,Pending,"$5,000.00",02/27/2012,05/14/2012,,,$0.00,05/14/2012
Grayson County Sheriff's Office,04/01/2012,12-FS13901,01,1998 DODGE DAKOTA,Pending,"$3,000.00",05/18/2012,,,,$0.00,
Grayson County Sheriff's Office,10/01/2012,13-FS28406,01,2000 DODGE PICKUP,Forfeiture,"$5,000.00",10/10/2012,01/15/2014,,,"$4,031.70",01/15/2014
Grayson County Sheriff's Office,02/12/2013,13-FS05616,01,2005 BUICK  Century-V6,Return To Owner,"$2,000.00",02/25/2013,06/07/2013,,,$0.00,06/07/2013
Grayson County Sheriff's Office,02/15/2013,13-FS07212,01,1993 Toyota  Pickup,,"$1,000.00",04/04/2013,,,,$0.00,
