Agency,Date Seized,DCJS Seizure #,Property #,Property Description,Disposition Code,Property Value,998 Rcvd,1st 999 Rcvd,2nd 999 Rcvd,3rd 999 Rcvd,Disbursal Total,Disbursement Date
Greensville County Sheriff's Office,08/05/2009,10-FS22901,01,1998 HONDA ACCORD,Pending,"$2,500.00",08/17/2009,02/10/2011,,,$0.00,02/10/2011
Greensville County Sheriff's Office,02/18/2010,10-FS06002,01,"$1,535.00 U.S. CURRENCY",Forfeiture,"$1,535.00",03/01/2010,03/04/2011,,,"$1,000.00",03/04/2011
Greensville County Sheriff's Office,08/05/2010,11-FS22301,01,2010 JEEP WRANGLER,Pending,"$20,000.00",08/11/2010,,,,$0.00,
Greensville County Sheriff's Office,08/05/2010,11-FS22301,02,$853.65 U.S. CURRENCY,Forfeiture,$853.65,08/11/2010,11/05/2010,,,$853.65,11/05/2010
Greensville County Sheriff's Office,11/15/2010,11-FS32602,01,"$1,522.00 U.S. CURRENCY",Pending,"$1,522.00",11/22/2010,,,,$0.00,
Greensville County Sheriff's Office,01/27/2011,11-FS04105,01,"$5,146.00 U.S. CURRENCY",Forfeiture,"$5,146.00",02/10/2011,12/19/2011,,,"$5,146.00",12/19/2011
Greensville County Sheriff's Office,05/30/2011,12-FS05202,01,$853.00 U.S. CURRENCY,Forfeiture,$853.00,02/21/2012,12/09/2011,,,$853.00,12/09/2011
Greensville County Sheriff's Office,07/02/2011,12-FS22202,01,1988 CADILLAC,Pending,$500.00,08/10/2011,,,,$0.00,
Greensville County Sheriff's Office,07/02/2011,12-FS22202,02,"$2,395.00 U.S. CURRENCY",Forfeiture,"$2,395.00",08/10/2011,03/09/2012,,,"$2,395.00",03/09/2012
Greensville County Sheriff's Office,07/25/2011,12-FS22201,01,2000 MERCURY COUGAR,Pending,"$1,000.00",08/10/2011,,,,$0.00,
Greensville County Sheriff's Office,04/16/2012,12-FS11608,01,2004 CHRYSLER SEBRING,Pending,"$1,900.00",04/25/2012,,,,$0.00,
Greensville County Sheriff's Office,05/30/2012,12-FS16301,01,"$3,604.00 US CURRENCY",Forfeiture,"$3,604.00",06/11/2012,08/24/2012,,,"$3,604.00",08/24/2012
Greensville County Sheriff's Office,09/19/2012,13-FS30510,01,1997 CHEVROLET SILVERADO,Forfeiture,"$10,000.00",10/31/2012,05/21/2013,,,"$1,000.00",05/21/2013
Greensville County Sheriff's Office,09/19/2012,13-FS30510,02,1999 HONDA CBR 900,Return To Owner,"$4,000.00",10/31/2012,05/21/2013,,,$0.00,05/21/2013
Greensville County Sheriff's Office,10/22/2012,13-FS30512,01,1998 HONDA ACCORD,Pending,"$2,000.00",10/31/2012,12/10/2013,,,$0.00,12/10/2013
Greensville County Sheriff's Office,10/22/2012,13-FS30512,02,"$11,346.00 US CURRENCY",Forfeiture,"$11,346.00",10/31/2012,12/10/2013,,,"$11,004.00",12/10/2013
Greensville County Sheriff's Office,10/23/2012,13-FS30511,01,"$1,210.00 US CURRENCY",Pending,"$1,210.00",10/31/2012,,,,$0.00,
Greensville County Sheriff's Office,10/23/2012,13-FS30513,01,1996 TOYOTA 4 RUNNER,Pending,"$1,500.00",10/31/2012,,,,$0.00,
Greensville County Sheriff's Office,11/29/2012,13-FS35417,01,$803.00 U.S. Currency,Pending,$803.00,12/19/2012,,,,$0.00,
Greensville County Sheriff's Office,03/09/2013,13-FS07708,01,"$3,700.00 U.S. Currency",Forfeiture,"$3,700.00",03/18/2013,07/11/2013,,,"$3,700.00",07/11/2013
Greensville County Sheriff's Office,06/28/2013,14-FS19005,01,"$3,135.00 U.S. Currency",Pending,"$3,135.00",07/09/2013,,,,$0.00,
Greensville County Sheriff's Office,09/17/2013,14-FS26604,01,"$21,990.00 U.S. Currency",Return To Owner,"$21,990.00",09/23/2013,12/03/2014,,,$0.00,12/03/2014
Greensville County Sheriff's Office,11/09/2013,14-FS31608,01,"$5,197.00 U.S. Currency",Forfeiture,"$5,197.00",11/13/2013,02/04/2015,,,"$5,197.00",02/04/2015
