Agency,Date Seized,DCJS Seizure #,Property #,Property Description,Disposition Code,Property Value,998 Rcvd,1st 999 Rcvd,2nd 999 Rcvd,3rd 999 Rcvd,Disbursal Total,Disbursement Date
Roanoke County Police Department,06/17/2009,10-FS19801,01,$965.00 U.S. CURRENCY,Forfeiture,$965.00,07/17/2009,01/20/2010,,,$965.00,01/20/2010
Roanoke County Police Department,10/04/2009,10-FS28612,01,"$6,310.00 U.S. CURRENCY",Forfeiture,"$6,310.00",10/13/2009,06/24/2010,,,"$6,310.00",06/24/2010
Roanoke County Police Department,03/30/2010,10-FS10204,01,"$1,440.00 U.S. CURRENCY",Forfeiture,"$1,440.00",04/12/2010,11/09/2010,,,"$1,440.00",11/09/2010
Roanoke County Police Department,04/21/2010,10-FS11801,01,1996 CHEVROLET CAVALIER,Forfeiture,"$1,500.00",04/28/2010,11/22/2010,02/28/2011,,$0.00,02/28/2011
Roanoke County Police Department,06/12/2010,11-FS18901,01,"$1,181.00 U.S. CURRENCY",Dismissal,"$1,181.00",07/08/2010,04/25/2011,,,$0.00,04/25/2011
Roanoke County Police Department,06/15/2010,11-FS09501,01,"$1,830.00 U.S. CURRENCY",Forfeiture,"$1,830.00",04/05/2011,04/05/2011,,,"$1,830.00",04/05/2011
Roanoke County Police Department,08/11/2010,11-FS03914,01,"$1,490.00 U.S. CURRENCY",Forfeiture,"$1,490.00",02/08/2011,02/08/2011,,,"$1,490.00",02/08/2011
Roanoke County Police Department,01/04/2011,11-FS01301,01,2000 DODGE TRUCK,Forfeiture,"$6,000.00",01/13/2011,08/15/2011,03/13/2012,,"$2,420.09",03/13/2012
Roanoke County Police Department,02/03/2011,11-FS05203,01,2003 NISSAN ALTIMA,Forfeiture,"$5,000.00",02/21/2011,04/26/2012,12/27/2012,,"$1,069.50",12/27/2012
Roanoke County Police Department,02/10/2011,11-FS05202,01,$768.00 U.S. CURRENCY,Forfeiture,$768.00,02/21/2011,12/06/2011,,,$768.00,12/06/2011
Roanoke County Police Department,03/07/2011,11-FS09503,01,"$9,206.00 U.S. CURRENCY",Forfeiture,"$9,206.00",04/05/2011,01/25/2012,,,"$1,443.00",01/25/2012
Roanoke County Police Department,03/09/2011,11-FS09502,01,2003 CHEVROLET MONTE CARLO,Forfeiture,"$8,000.00",04/05/2011,11/01/2012,02/19/2013,,"$2,290.00",02/19/2013
Roanoke County Police Department,03/25/2011,11-FS09505,01,$758.00 U.S. CURRENCY,Forfeiture,$758.00,04/05/2011,10/16/2013,,,$758.00,10/16/2013
Roanoke County Police Department,04/03/2011,11-FS15713,01,"$3,465.00 U.S. CURRENCY",Forfeiture,"$3,465.00",06/06/2011,09/26/2011,,,"$3,465.00",09/26/2011
Roanoke County Police Department,04/11/2011,11-FS11003,01,2001 TOYOTA HIGHLANDER,Forfeiture,"$2,500.00",04/20/2011,10/26/2011,10/02/2012,,"$5,487.00",10/02/2012
Roanoke County Police Department,07/12/2011,12-FS20302,01,$608.00 U.S. CURRENCY,Forfeiture,$608.00,07/22/2011,11/09/2011,,,$608.00,11/09/2011
Roanoke County Police Department,09/15/2011,12-FS27008,01,$865.00 U.S. CURRENCY,Forfeiture,$865.00,09/27/2011,11/14/2012,,,$865.00,11/14/2012
