Survey Year,UnitID,Institution Name,Campus ID,Campus Name,Institution Size,Murder/Non-Negligent Manslaughter,Negligent Manslaughter,Sex Offenses - Forcible,Sex Offenses - Non-Forcible,Robbery,Aggravated Assault,Burglary,Motor Vehicle Theft,Arson
2013,231411,Advanced Technology Institute,1,Advanced Technology Institute - Virginia Beach,824,0,0,0,0,0,0,0,0,0
2013,432348,Appalachian School of Law,1,Main Campus,219,0,0,0,0,0,0,0,0,0
2013,231420,Averett University,1,Main Campus,906,0,0,0,0,0,0,0,0,0
2013,449931,Averett University-Non-traditional programs,1,GPS-Main Campus,1221,0,0,0,0,0,0,0,0,0
2013,449931,Averett University-Non-traditional programs,2,GPS-Chesapeake,1221,0,0,0,0,0,0,0,0,0
2013,449931,Averett University-Non-traditional programs,4,Richmond,1221,0,0,0,0,0,0,0,0,0
2013,231554,Bluefield College,1,Main Campus,842,0,0,0,0,0,0,0,0,0
2013,231581,Bridgewater College,1,Main Campus,1848,0,0,0,0,0,0,1,0,0
2013,231785,Bryant & Stratton College-Virginia Beach,1,Main Campus,728,0,0,0,0,0,0,0,0,0
2013,231712,Christopher Newport University,1,Main Campus,5232,0,0,0,0,0,0,0,0,0
2013,231624,College of William and Mary,1,Main Campus,8376,0,0,0,0,0,0,0,0,0
2013,231624,College of William and Mary,3,DC Campus,8376,0,0,0,0,0,1,0,0,0
2013,231873,Dabney S Lancaster Community College,1,Main Campus,1312,0,0,0,0,0,0,0,0,0
2013,231882,Danville Community College,1,Main Campus,4280,0,0,0,0,0,0,0,0,0
2013,232043,Eastern Mennonite University,1,Main Campus,1640,0,0,0,0,0,0,0,0,0
2013,231970,Eastern Virginia Medical School,1,Main Campus,1017,0,0,0,0,0,0,0,0,0
2013,248934,ECPI University,1,ECPI University - Virginia Beach,10845,0,0,0,0,0,0,0,0,0
2013,248934,ECPI University,12,ECPI University - Norfolk (Culinary Institute of Virginia),10845,0,0,0,0,0,0,0,0,0
2013,442806,Edward Via College of Osteopathic Medicine,1,Virginia Campus,1278,0,0,0,0,0,0,0,0,0
2013,442806,Edward Via College of Osteopathic Medicine,2,Carolinas Campus,1278,0,0,0,0,0,0,0,0,0
2013,232025,Emory & Henry College,1,Main Campus,959,0,0,0,0,0,0,0,0,0
2013,232089,Ferrum College,1,Ferrum College,1512,0,0,0,0,0,0,0,0,0
2013,232186,George Mason University,1,Main Campus,33917,0,0,0,0,0,0,0,0,0
2013,232256,Hampden-Sydney College,1,Main Campus,1070,0,0,0,0,0,0,0,0,0
2013,232265,Hampton University,1,Main Campus,4622,0,0,0,0,2,1,7,1,0
2013,232308,Hollins University,1,Hollins University,750,0,0,0,0,0,0,0,0,0
2013,232423,James Madison University,1,Main Campus-Harrisonburg,20181,0,0,1,0,0,0,1,0,0
2013,231837,Jefferson College of Health Sciences,1,JCHS Main Campus,1039,0,0,0,0,0,0,0,0,0
2013,232557,Liberty University,1,Main Campus,77338,0,0,0,0,0,0,0,0,0
2013,232566,Longwood University,1,Main Campus,4960,0,0,0,0,0,0,1,0,0
2013,232566,Longwood University,2,Longwood University at Martinsville,4960,0,0,0,0,0,0,0,0,0
2013,232566,Longwood University,3,Longwood  University at South Boston,4960,0,0,0,0,0,0,0,0,0
2013,232609,Lynchburg College,1,Main Campus,2713,0,0,0,0,0,0,0,0,0
2013,232706,Marymount University,1,Marymount University,3486,0,0,0,0,0,0,0,0,0
2013,232788,Mountain Empire Community College,1,Main Campus,2924,0,0,0,0,0,0,0,0,0
2013,232946,Northern Virginia Community College,1,Annandale Campus,51803,0,0,4,0,0,1,1,4,0
2013,232946,Northern Virginia Community College,2,Alexandria Campus,51803,0,0,2,4,1,13,1,1,0
2013,232946,Northern Virginia Community College,3,Loudoun Campus,51803,0,0,3,1,0,2,0,0,0
2013,232946,Northern Virginia Community College,4,Manassas Campus,51803,0,0,3,0,0,3,1,1,0
2013,232946,Northern Virginia Community College,5,Woodbridge Campus,51803,0,0,0,0,0,0,0,0,0
2013,232946,Northern Virginia Community College,6,Medical Education Campus,51803,0,0,0,0,0,0,0,0,0
2013,232946,Northern Virginia Community College,7,Innovation Park,51803,0,0,0,0,0,0,0,0,0
2013,232946,Northern Virginia Community College,8,Reston Center,51803,0,0,0,0,0,0,0,0,0
2013,232946,Northern Virginia Community College,9,Arlington Center,51803,0,0,0,0,0,0,0,0,0
2013,232946,Northern Virginia Community College,10,ELI/ Fairfax,51803,0,0,0,0,0,0,0,0,0
2013,232946,Northern Virginia Community College,11,Pitney Bowes Building,51803,0,0,0,0,0,3,5,0,0
2013,232946,Northern Virginia Community College,12,Fort Belvoir- Barden Education Center,51803,0,0,0,0,0,0,0,0,0
2013,232946,Northern Virginia Community College,13,Fort Myer/ Henderson Hall,51803,0,0,0,0,0,0,0,0,0
2013,232946,Northern Virginia Community College,14,Quantico Marine Base Education Center,51803,0,0,0,0,0,0,0,0,0
2013,232982,Old Dominion University,1,Old Dominion University,24828,0,0,0,0,0,0,1,0,0
2013,233019,Patrick Henry Community College,1,Main Campus,3163,0,0,0,0,0,0,0,0,0
2013,233116,Piedmont Virginia Community College,1,MAIN CAMPUS,5630,0,0,0,0,0,0,0,0,0
2013,233116,Piedmont Virginia Community College,2,PVCC Jefferson School Center,5630,0,0,0,0,0,0,0,0,0
2013,233277,Radford University,1,Main Campus,9928,0,0,0,0,1,0,0,0,2
2013,233310,Rappahannock Community College,1,Glenns Campus,3555,0,0,0,0,0,0,0,0,0
2013,233541,Shenandoah University,1,Main Campus,4003,0,0,0,0,0,0,0,0,0
2013,233611,Southern Virginia University,1,Main Campus,662,0,0,0,0,0,0,0,0,0
2013,233639,Southside Virginia Community College,1,Christanna campus,5784,0,0,0,0,0,0,0,0,0
2013,233648,Southwest Virginia Community College,1,Main Campus,2630,0,0,0,0,0,0,0,0,0
2013,233718,Sweet Briar College,1,Main Campus,710,0,0,0,0,0,0,0,0,0
2013,440341,The Art Institute of Washington,1,The Art Institute of Washington,1499,0,0,0,0,0,0,0,0,0
2013,233897,The University of Virginia's College at Wise,1,University of VA's College at Wise,2291,0,0,0,0,0,0,0,0,0
2013,233754,Thomas Nelson Community College,1,Main Campus,11033,0,0,0,0,0,0,0,0,0
2013,233772,Tidewater Community College,3,Regional Workforce Development Center,28999,0,0,0,0,0,0,0,0,0
2013,233772,Tidewater Community College,4,Virginia Beach Campus,28999,0,0,0,0,0,0,0,0,0
2013,232681,University of Mary Washington,1,University of Mary Washington,4831,0,0,0,0,0,0,0,0,0
2013,232681,University of Mary Washington,2,Stafford Campus,4831,0,0,0,0,0,0,0,0,0
2013,442189,University of Phoenix-Northern Virginia Campus,2,Northern VA - Arlington Learning Center,865,0,0,0,0,0,0,0,0,0
2013,446756,University of Phoenix-Richmond-Virginia Beach Campus,2,University of Phoenix - Virginia Beach Learning Center,706,0,0,0,0,0,0,0,0,0
2013,233374,University of Richmond,1,Main Campus,4140,0,0,0,0,0,0,0,0,0
2013,234076,University of Virginia-Main Campus,1,Main Campus,23464,0,0,11,0,0,1,1,0,0
2013,234030,Virginia Commonwealth University,1,Monroe Park Campus,30974,0,0,0,0,0,0,2,0,0
2013,234030,Virginia Commonwealth University,2,MCV Campus,30974,0,0,0,0,0,0,0,0,0
2013,234085,Virginia Military Institute,1,Virginia Military Institute,1675,0,0,0,0,0,0,0,0,0
2013,233921,Virginia Polytechnic Institute and State University,1,Virginia Polytechnic Institute and State Univ,31205,0,0,0,0,0,0,0,0,0
2013,234137,Virginia University of Lynchburg,1,Main Campus,582,0,0,0,0,0,0,0,0,0
2013,234173,Virginia Wesleyan College,1,VIRGINIA WESLEYAN COLLEGE,1459,0,0,0,0,0,0,0,0,0
2013,233949,Virginia Western Community College,1,Main Campus,8654,0,0,0,0,0,1,1,0,0
2013,234207,Washington and Lee University,1,Main Campus,2277,0,0,0,0,0,0,0,0,0
2013,234377,Wytheville Community College,1,Wytheville Community College Main Campus,3468,0,0,0,0,0,0,0,0,0
