Month,211,212,213,214,215,216,Totals
January,512,487,360,457,452,453,"2,721"
February,434,471,363,392,446,422,"2,528"
March,491,554,430,463,549,501,"2,988"
April,554,571,417,446,556,441,"2,985"
May,606,579,418,473,634,481,"3,191"
June,643,585,443,463,575,527,"3,236"
July,667,578,391,426,541,566,"3,169"
August,607,553,399,415,547,535,"3,056"
September,604,519,367,400,524,502,"2,916"
October,614,527,375,407,513,466,"2,902"
November,465,502,337,348,494,452,"2,598"
December,442,510,374,342,462,467,"2,597"
Totals,"6,639","6,436","4,674","5,032","6,293","5,813","34,887"
