Criminal Offenses,FY 2009,FY 2008,FY 2007
Murder/Nonnegligent Manslaughter,2*,N/A,N/A
Sexual Misconduct Offenses,34*,N/A,N/A
Assault and Battery,293,281,274
Arson,4*,N/A,N/A
Burglary/Breaking and Entering,121*,N/A,N/A
Robbery,8,142,162
Motor Vehicle Theft,27*,N/A,N/A
Shoplifting and Larceny,657,626,618
Forgery and Fraud,180,208,187
Juvenile Crimes,22,106,62
Weapon Violation,200,21,23
Drug Charges,201,188,260
Juvenile Crimes,113,106,62
Other Criminal Offenses,1862,1134,1183
Total Criminal Offenses,2946,2812,2831
