Cats Trapped and Picked up,,,
Animal Control,,38,
Citizens,,19,
Total,,57,
1/2/2014,82nd Street,1,
1/2/2014,Bancroft,1,
1/3/2014,W. Pembroke Ave./ Greenlawn,1,DOA
1/4/2014,Langley Avenue,1,
1/4/2014,Garrett Drive,1,
1/7/2014,Kincaid Lane,1,
1/9/2014,Santa Barbara Drive,1,
1/10/2014,82 Street,1,
1/10/2014,Kenneth Street,1,
1/10/2014,Settlers Landing Rd/ S. Back River,1,DOA
1/11/2014,Orcutt Rd./Threechopt Road 2,DOA,
1/13/2014,N. Greenfield Avenue,1,
1/13/2014,Hardy Cash Drive,1,
1/13/2014,Rosser Drive,1,
1/16/2014,Booker Street,1,
1/16/2014,Hilke Drive,1,
1/17/2014,Shell Road,1,
1/17/2014,Briarfield Road,1,DOA
1/17/2014,E. Pembroke Avenue,1,
1/18/2014,Beall Drive,1,DOA
1/18/2014,Smiley Road,1,
1/19/2014,Sharon Court,1,
1/19/2014,N. King Street,1,
1/20/2014,Emeraude Plague,1,
1/20/2014,Rosser Drive,1,
1/20/2014,Dunn Circle 4,,
1/21/2014,E. Roger Peed Road,1,
1/22/2014,82nd Street,1,
1/24/2014,Roane Drive,1,
1/27/2014,Semple Farm Road,1,DOA
1/28/2014,E. Taylor Avenue,1,
1/28/2014,Big Bethel Rd/ Todds Lane,1,DOA
1/29/2014,Harris Creek Rd.,1,DOA
1/30/2014,Salem Street,1,
