Date,Street Address,Number,Notes
4/1/2015,N. King St,1,
4/3/2015,Rendon Dr,1,
4/3/2015,Westmont,1,DOA
4/5/2015,Hall Rd,1,
4/6/2015,Fox Hill Rd,1,DOA
4/6/2015,Lee St,1,DOA
4/7/2015,Kecoughtan Rd,5,
4/7/2015,Fort Worth St,1,
4/7/2015,Benthall Rd,3,
4/7/2015,Industry Dr,2,
4/8/2015,Raintree Dr,1,
4/8/2015,Industry Dr,3,
4/9/2015,Braddock Rd,1,
4/9/2015,Industry Dr,1,
4/9/2015,Shelton Rd,1,
4/10/2015,Industry Dr,3,
4/10/2015,Old Meribeth Rd,1,
4/10/2015,Big Bethel/ W Mercury,1,
4/12/2015,Hollis Wood Dr,1,
4/12/2015,Mac Alva Dr,1,
4/13/2015,Dale St,1,DOA
4/13/2015,Sandy Lake Dr,1,
4/13/2015,Industry Dr,1,
4/13/2015,Semple Farm Rd,3,
4/14/2015,Hollis Wood Dr,1,
4/14/2015,Longwood Dr,1,
4/15/2015,N. Armistead Ave,1,
