PRECINCT,BEAT,REPORTING AREA,TOTAL,AGGRAVATED ASSAULT,ALL OTHER OFFENSES,ANNOYING PHONE CALLS,ARSON,BAD CHECKS,BURGLARY/B & E,CPS REFERRAL,CURFEW,DAMAGE PROPERTY,DECEASED PERSON,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG EQUIPMENT - POSSESS,DRUG/NARCOTICS OFFENSES,DRUNKENNESS,EMBEZZLE,EXTORT,FORCIBLE FONDLING,FORCIBLE SODOMY,FORGERY/COUNTERFEITING,FRAUD - IMPERSONATE,FRAUD BY WIRE,FRAUD/FALSE PRETENSES/SWINDLE,FRAUD-ILLEGAL USE CREDIT CARD/ATM,HABITUAL TRAFFIC OFFENDER,HIT AND RUN,HOMICIDE/MURDER,INCEST WITH MINOR,INDECENT EXPOSURE,INTIMIDATION,JUVENILE - RUNAWAY,KIDNAP/ABDUCTION,LARCENY,LEAVING THE SCENE,LIQUOR LAW VIOLATIONS,MISSING PERSON,NEGLECT CHILD,OBSCENE MATERIAL/PORNOGRAPHY,OVERDOSE,PEEPING TOM,POCKET PICKING,PROSTITUTION,PURSE SNATCHING - NO FORCE,ROBBERY,"SEX ASSAULT, RAPE",SEXUAL ASSAULT W/AN OBJECT,SHOPLIFTING,SIMPLE ASSAULT,STOLEN PROPERTY OFFENSES,SUICIDE,TAMPERING WITH AUTO,THEFT FROM BUILDING,THEFT FROM COIN OPERATED MACHINE,THEFT FROM VEHICLE,THEFT PARTS FROM VEHICLE,TOBACCO VIOLATION,TRESPASSING,TRUANCY - REGULAR PATROL,UNAUTHORIZED USE OF VEHICLE,VEHICLE THEFT,WEAPON OFFENSE
SOUTH,11,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH,11,223,110,3,,,2,,8,1,,10,2,,,1,10,,,,,,1,2,,,1,,,,,,5,5,,11,4,,,,,,,,,,2,1,,,22,,,,,,1,2,1,1,1,,5,8
SOUTH,11,227,4,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,
SOUTH,11,228,53,,,,,,5,,,4,1,,,,5,,1,,1,,,2,,,,,1,,,,2,5,,5,1,,1,,,,,,,1,2,,,1,7,,,1,,,2,,,,,,3,2
SOUTH,11,233,40,3,,,,,1,,,1,,,,,5,,,,,,2,2,,2,1,,1,,,,,4,,1,2,,,,,,,,,,,,,3,8,,,,,,1,1,,,,,,2
SOUTH,11,234,51,,,,,,5,,,8,,,,,3,,,,,,,1,,,,1,,,,,2,5,,5,1,,,2,,,,,,,2,,,,11,,1,,1,,,,,,,,3,
SOUTH,11,237,3,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
SOUTH,11,238,53,1,,1,,,2,,,13,1,,,,9,,,,,,,1,,,1,,,,,,1,2,1,2,1,,2,,,,,,,,,,,,6,,,1,3,,2,,,,,,1,2
SOUTH,11,243,48,2,,,,,8,,,6,,,,,8,,,,,,,,,2,,,,1,,,2,,,4,2,,,,,1,,,,,,,,,6,,1,,,,,,,,,,1,4
SOUTH,11,245,62,2,,2,1,,7,,,14,1,,,,2,,,,,,,3,,,,,,1,,,3,2,,2,3,,,,1,,,,,,,,,,6,1,,,,,,3,,,,,3,5
SOUTH,11,246,30,,,,,,,3,,3,,,,,3,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,3,,,1,6,,,,,,1,,,,,,,6
SOUTH,12,10,18,2,,,,,1,,,2,,,,,2,,,,,,1,,,1,,,,,,,,,,1,1,,,1,,,,,,,,,,,1,,,,,,2,1,,,,,,2
SOUTH,12,11,27,1,,,,,1,,,4,,,,,,,,,,,1,2,,,,,,,,,2,1,,1,3,,,,,,,,,,,,,,4,,1,1,3,,,,,,,,,2
SOUTH,12,12,26,,,,,,1,,,3,,,,,,,,,,,,,,,1,,,,,,1,5,,2,2,,,,,,,,,,,,,1,4,,,1,2,,2,,,,,,1,
SOUTH,12,2,55,2,,1,,1,1,1,,4,1,,,,1,,,,,1,,2,,,,,,,,,6,2,,5,5,,,,,,,,,,1,,,,12,,,,3,,2,1,,,,1,,2
SOUTH,12,3,23,,,,,,1,,,1,,,,,3,,,,,,,1,,,,,,,,,2,,,1,2,,1,1,,,,,,,,,,1,4,,,,,,2,3,,,,,,
SOUTH,12,4,29,,,,,,,,1,,,,,,2,1,,,,,1,1,,1,,,,,,,1,,,2,8,,,,,,,1,,,1,,,,4,,,,,,4,,,,,,1,
SOUTH,12,6,37,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,3,10,,,,,,,,,,1,,,,4,,,,,,14,1,,,,,,1
SOUTH,12,7,32,1,,,,,2,,,3,2,,,,1,,,,,,,3,,,,,1,,,,2,,,4,1,,1,1,,,,,,,1,,,,1,,1,,,,1,,,,,,3,3
SOUTH,12,9,12,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,4,,,,,,2,,,,,,1,
