Date ,Report Type ,Street ,Zip ,Area ,ED ,N#
5/8/2004,POSSESSION OF MARIJUANA ,BACK CREEK ROAD ,23696,200,3,179
5/9/2004,CITIZEN REQUESTED ASSISTANCE ,BACK CREEK ROAD ,23696,200,3,179
7/30/2004,CITIZEN REQUESTED ASSISTANCE ,BACK CREEK ROAD ,23696,200,3,179
8/2/2004,"ASSAULT, SIMPLE, DOMESTIC ",BACK CREEK ROAD ,23696,200,3,179
8/14/2004,CITIZEN REQUESTED ASSISTANCE ,BACK CREEK ROAD ,23696,200,3,179
10/3/2015,UNAUTHORIZED USE OF VEHICLE ,BACK CREEK ROAD ,23696,200,3,179
12/20/2015,CITIZEN REQUESTED ASSISTANCE ,BACK CREEK ROAD ,23696,200,3,179
2/29/2004,LITTERING ,BACK CREEK ROAD & SEAFORD ROAD ,23696,200,3,179
3/1/2004,LITTERING ,"BACK CREEK ROAD, BLOCK OF ",23696,200,3,179
6/10/2004,"ASSAULT, SIMPLE ",BAYTREE BEACH ROAD ,23696,200,3,179
6/11/2004,ARSON ,BAYTREE BEACH ROAD ,23696,200,3,179
6/18/2004,CITIZEN REQUESTED ASSISTANCE ,BLANTON DRIVE ,23696,200,3,179
12/21/2015,CREDIT CARD FRAUD ,BLANTON DRIVE ,23696,200,3,179
12/28/2015,CITIZEN REQUESTED ASSISTANCE ,CHARLES CIRCLE ,23696,200,3,58
1/1/2004,RUNAWAY JUVENILE ,CHEADLE LOOP ROAD ,23696,200,3,25
1/14/2004,RUNAWAY JUVENILE ,CHEADLE LOOP ROAD ,23696,200,3,25
1/29/2004,"ASSAULT, SIMPLE ",CHEADLE LOOP ROAD ,23696,200,3,25
2/8/2004,CREDIT CARD THEFT ,CHEADLE LOOP ROAD ,23696,200,3,25
2/14/2004,"ASSAULT, SIMPLE ",CHEADLE LOOP ROAD ,23696,200,3,25
2/14/2004,"ASSAULT, SIMPLE ",CHEADLE LOOP ROAD ,23696,200,3,25
2/14/2004,CITIZEN REQUESTED ASSISTANCE ,CHEADLE LOOP ROAD ,23696,200,3,25
2/14/2004,GRAND LARCENY ,CHEADLE LOOP ROAD ,23696,200,3,25
3/5/2004,"DAMAGE PROPERTY, PRIVATE ",CHEADLE LOOP ROAD ,23696,200,3,25
4/4/2004,LOST PROPERTY ,CHEADLE LOOP ROAD ,23696,200,3,25
4/14/2004,"DAMAGE PROPERTY, PRIVATE ",CHEADLE LOOP ROAD ,23696,200,3,25
5/25/2004,CITIZEN REQUESTED ASSISTANCE ,CHEADLE LOOP ROAD ,23696,200,3,25
6/20/2004,"DAMAGE PROPERTY, PRIVATE ",CHEADLE LOOP ROAD ,23696,200,3,25
6/20/2004,TRESPASSING ,CHEADLE LOOP ROAD ,23696,200,3,25
10/3/2015,"FORGING, UTTERING ",CHEADLE LOOP ROAD ,23696,200,3,25
10/3/2015,GRAND LARCENY ,CHEADLE LOOP ROAD ,23696,200,3,25
10/15/2015,"FORGING, UTTERING ",CHEADLE LOOP ROAD ,23696,200,3,25
10/15/2015,PETIT LARCENY -3RD OR SUBSQ OFFENSE ,CHEADLE LOOP ROAD ,23696,200,3,25
12/17/2015,PETIT LARCENY ,CHEADLE LOOP ROAD ,23696,200,3,25
12/17/2015,TAMPERING WITH US MAIL ,CHEADLE LOOP ROAD ,23696,200,3,25
12/17/2015,TAMPERING WITH US MAIL ,CHEADLE LOOP ROAD ,23696,200,3,25
8/11/2004,DEAD ON ARRIVAL ,CREEK CIRCLE ,23696,200,3,242
10/28/2015,GRAND LARCENY ,CREEK CIRCLE ,23696,200,3,242
1/13/2004,GRAND LARCENY ,CROCKETT ROAD ,23696,200,3,58
2/7/2004,CONTRIBUTING TO THE DELINQUENCY OF A MINOR ,CROCKETT ROAD ,23696,200,3,58
2/7/2004,UNLAWFUL PURCHASE OR POSSESS ALCOHOLIC BEVER ,CROCKETT ROAD,23696,200,3,58
5/14/2004,LOST PROPERTY ,DAVIS CIRCLE ,23696,200,3,86
6/8/2004,PETIT LARCENY ,DAWSON CRESENT ,23696,200,3,247
2/7/2004,GRAND LARCENY ,DAWSON DRIVE ,23696,200,3,247
2/24/2004,RUNAWAY JUVENILE ,DAWSON DRIVE ,23696,200,3,247
8/18/2004,"ASSAULT, SIMPLE ",DAWSON DRIVE ,23696,200,3,247
