raw_row_number,date,location,county_name,subject_race,officer_id_hash,officer_race,type,search_conducted
1629,2006-06-03,ALEXANDRIA CITY,NA,white,0d79d95884,NA,vehicular,TRUE
2473,2006-06-24,ALEXANDRIA CITY,NA,white,c000645f56,NA,vehicular,TRUE
6741,2007-05-12,ALEXANDRIA CITY,NA,white,c000645f56,NA,vehicular,TRUE
7612,2007-08-04,ALEXANDRIA CITY,NA,white,602192c746,NA,vehicular,TRUE
7873,2007-09-01,ALEXANDRIA CITY,NA,white,1033ef1529,NA,vehicular,TRUE
8353,2007-10-06,ALEXANDRIA CITY,NA,white,1033ef1529,NA,vehicular,TRUE
9677,2008-02-23,ALEXANDRIA CITY,NA,white,c000645f56,NA,vehicular,TRUE
9932,2008-03-15,ALEXANDRIA CITY,NA,white,c000645f56,NA,vehicular,TRUE
10391,2008-05-03,ALEXANDRIA CITY,NA,white,3be722c1d4,NA,vehicular,TRUE
11059,2008-07-12,ALEXANDRIA CITY,NA,white,1033ef1529,NA,vehicular,TRUE
18121,2009-10-17,ALEXANDRIA CITY,NA,white,99f6d76284,NA,vehicular,TRUE
23992,2011-03-12,ALEXANDRIA CITY,NA,white,602192c746,NA,vehicular,TRUE
25647,2011-06-04,ALEXANDRIA CITY,NA,white,0d79d95884,NA,vehicular,TRUE
27115,2011-10-01,ALEXANDRIA CITY,NA,white,916f2ad4c9,NA,vehicular,TRUE
28451,2012-03-10,ALEXANDRIA CITY,NA,white,abdffd7755,NA,vehicular,TRUE
30326,2013-01-05,ALEXANDRIA CITY,NA,white,6dd73bea5b,NA,vehicular,TRUE
30529,2013-02-09,ALEXANDRIA CITY,NA,white,0d79d95884,NA,vehicular,TRUE
31590,2013-03-23,ALEXANDRIA CITY,NA,white,8c28ae01ac,NA,vehicular,TRUE
33964,2014-02-15,ALEXANDRIA CITY,NA,white,1a61e70396,NA,vehicular,TRUE
36248,2014-11-29,ALEXANDRIA CITY,NA,white,87217e575b,NA,vehicular,TRUE
37291,2015-01-31,ALEXANDRIA CITY,NA,white,87217e575b,NA,vehicular,TRUE
38305,2015-02-28,ALEXANDRIA CITY,NA,white,0a20b2022a,NA,vehicular,TRUE
38963,2015-05-02,ALEXANDRIA CITY,NA,white,0a20b2022a,NA,vehicular,TRUE
39247,2015-06-27,ALEXANDRIA CITY,NA,white,87217e575b,NA,vehicular,TRUE
45481,2008-11-01,ALEXANDRIA CITY,NA,white,8a3dca8a1d,NA,vehicular,TRUE
46817,2009-04-25,ALEXANDRIA CITY,NA,white,cfc9409177,NA,vehicular,TRUE
47511,2010-01-09,ALEXANDRIA CITY,NA,white,0d79d95884,NA,vehicular,TRUE
49148,2011-01-08,ALEXANDRIA CITY,NA,white,602192c746,NA,vehicular,TRUE
53648,2013-04-06,ALEXANDRIA CITY,NA,white,4a17a4969c,NA,vehicular,TRUE
53649,2013-04-06,ALEXANDRIA CITY,NA,white,4a17a4969c,NA,vehicular,TRUE
54697,2014-03-01,ALEXANDRIA CITY,NA,white,0ac827061c,NA,vehicular,TRUE
55497,2014-10-04,ALEXANDRIA CITY,NA,white,e5be3842ad,NA,vehicular,TRUE
55911,2014-11-15,ALEXANDRIA CITY,NA,white,e5be3842ad,NA,vehicular,TRUE
56707,2015-03-21,ALEXANDRIA CITY,NA,white,0ac827061c,NA,vehicular,TRUE
57990,2015-06-13,ALEXANDRIA CITY,NA,white,1a61e70396,NA,vehicular,TRUE
58196,2015-08-22,ALEXANDRIA CITY,NA,white,ca79613539,NA,vehicular,TRUE
58412,2015-11-21,ALEXANDRIA CITY,NA,white,e9bed6f34f,NA,vehicular,TRUE
58413,2015-11-21,ALEXANDRIA CITY,NA,white,e9bed6f34f,NA,vehicular,TRUE
59238,2006-04-01,ALEXANDRIA CITY,NA,black,0d79d95884,NA,vehicular,TRUE
59654,2006-04-29,ALEXANDRIA CITY,NA,black,c000645f56,NA,vehicular,TRUE
60069,2006-07-29,ALEXANDRIA CITY,NA,black,bc61ebb020,NA,vehicular,TRUE
60476,2006-11-25,ALEXANDRIA CITY,NA,black,0d79d95884,NA,vehicular,TRUE
60724,2007-01-27,ALEXANDRIA CITY,NA,black,c000645f56,NA,vehicular,TRUE
63438,2007-12-29,ALEXANDRIA CITY,NA,black,c000645f56,NA,vehicular,TRUE
63800,2008-04-05,ALEXANDRIA CITY,NA,black,584f0ceb4b,NA,vehicular,TRUE
64309,2008-08-16,ALEXANDRIA CITY,NA,black,3be722c1d4,NA,vehicular,TRUE
66330,2009-03-07,ALEXANDRIA CITY,NA,black,347055a65a,NA,vehicular,TRUE
66748,2009-05-23,ALEXANDRIA CITY,NA,black,c6924067c4,NA,vehicular,TRUE
67235,2009-10-17,ALEXANDRIA CITY,NA,black,0d79d95884,NA,vehicular,TRUE
67399,2009-12-12,ALEXANDRIA CITY,NA,black,99f6d76284,NA,vehicular,TRUE
67750,2010-04-10,ALEXANDRIA CITY,NA,black,3b41fc29f1,NA,vehicular,TRUE
68133,2010-08-21,ALEXANDRIA CITY,NA,black,1fa22b5510,NA,vehicular,TRUE
68509,2011-01-08,ALEXANDRIA CITY,NA,black,fab456935f,NA,vehicular,TRUE
69247,2011-05-14,ALEXANDRIA CITY,NA,black,99f6d76284,NA,vehicular,TRUE
69607,2011-10-22,ALEXANDRIA CITY,NA,black,0d79d95884,NA,vehicular,TRUE
69803,2012-01-28,ALEXANDRIA CITY,NA,black,896f0ea943,NA,vehicular,TRUE
69986,2012-04-14,ALEXANDRIA CITY,NA,black,0d79d95884,NA,vehicular,TRUE
75037,2014-09-27,ALEXANDRIA CITY,NA,black,87217e575b,NA,vehicular,TRUE
75184,2014-11-29,ALEXANDRIA CITY,NA,black,87217e575b,NA,vehicular,TRUE
