raw_row_number,date,location,county_name,subject_race,officer_id_hash,officer_race,type,search_conducted
98388,2006-01-07,Buckingham County,Buckingham County,white,033a60b110,NA,vehicular,FALSE
98389,2006-01-07,Buckingham County,Buckingham County,white,033a60b110,NA,vehicular,FALSE
98390,2006-01-07,Buckingham County,Buckingham County,white,033a60b110,NA,vehicular,FALSE
98391,2006-01-07,Buckingham County,Buckingham County,white,033a60b110,NA,vehicular,FALSE
98392,2006-01-07,Buckingham County,Buckingham County,white,033a60b110,NA,vehicular,FALSE
98393,2006-01-07,Buckingham County,Buckingham County,white,033a60b110,NA,vehicular,FALSE
98394,2006-01-07,Buckingham County,Buckingham County,white,a0788dcb86,NA,vehicular,FALSE
98395,2006-01-07,Buckingham County,Buckingham County,white,a0788dcb86,NA,vehicular,FALSE
98396,2006-01-07,Buckingham County,Buckingham County,white,a0788dcb86,NA,vehicular,FALSE
98397,2006-01-07,Buckingham County,Buckingham County,white,a0788dcb86,NA,vehicular,FALSE
98398,2006-01-07,Buckingham County,Buckingham County,white,b88c71625f,NA,vehicular,FALSE
98399,2006-01-07,Buckingham County,Buckingham County,white,b88c71625f,NA,vehicular,FALSE
98400,2006-01-07,Buckingham County,Buckingham County,white,b88c71625f,NA,vehicular,FALSE
98401,2006-01-07,Buckingham County,Buckingham County,white,b88c71625f,NA,vehicular,FALSE
98402,2006-01-07,Buckingham County,Buckingham County,white,b88c71625f,NA,vehicular,FALSE
98403,2006-01-07,Buckingham County,Buckingham County,white,b88c71625f,NA,vehicular,FALSE
98404,2006-01-07,Buckingham County,Buckingham County,white,b88c71625f,NA,vehicular,FALSE
98405,2006-01-07,Buckingham County,Buckingham County,white,b88c71625f,NA,vehicular,FALSE
98406,2006-01-07,Buckingham County,Buckingham County,white,b88c71625f,NA,vehicular,FALSE
98407,2006-01-07,Buckingham County,Buckingham County,white,b88c71625f,NA,vehicular,FALSE
98408,2006-01-07,Buckingham County,Buckingham County,white,8998189ab9,NA,vehicular,FALSE
3237709,2006-01-07,Buckingham County,Buckingham County,black,033a60b110,NA,vehicular,FALSE
3237710,2006-01-07,Buckingham County,Buckingham County,black,a0788dcb86,NA,vehicular,FALSE
3237711,2006-01-07,Buckingham County,Buckingham County,black,a0788dcb86,NA,vehicular,FALSE
3237712,2006-01-07,Buckingham County,Buckingham County,black,a0788dcb86,NA,vehicular,FALSE
3237713,2006-01-07,Buckingham County,Buckingham County,black,b88c71625f,NA,vehicular,FALSE
3237714,2006-01-07,Buckingham County,Buckingham County,black,b88c71625f,NA,vehicular,FALSE
78,2006-01-14,Buckingham County,Buckingham County,white,a0788dcb86,NA,vehicular,TRUE
104249,2006-01-14,Buckingham County,Buckingham County,white,63f1105f3f,NA,vehicular,FALSE
104250,2006-01-14,Buckingham County,Buckingham County,white,033a60b110,NA,vehicular,FALSE
104251,2006-01-14,Buckingham County,Buckingham County,white,033a60b110,NA,vehicular,FALSE
104252,2006-01-14,Buckingham County,Buckingham County,white,033a60b110,NA,vehicular,FALSE
104253,2006-01-14,Buckingham County,Buckingham County,white,033a60b110,NA,vehicular,FALSE
104254,2006-01-14,Buckingham County,Buckingham County,white,033a60b110,NA,vehicular,FALSE
104255,2006-01-14,Buckingham County,Buckingham County,white,033a60b110,NA,vehicular,FALSE
104256,2006-01-14,Buckingham County,Buckingham County,white,033a60b110,NA,vehicular,FALSE
104257,2006-01-14,Buckingham County,Buckingham County,white,033a60b110,NA,vehicular,FALSE
104258,2006-01-14,Buckingham County,Buckingham County,white,033a60b110,NA,vehicular,FALSE
104259,2006-01-14,Buckingham County,Buckingham County,white,033a60b110,NA,vehicular,FALSE
104260,2006-01-14,Buckingham County,Buckingham County,white,033a60b110,NA,vehicular,FALSE
104261,2006-01-14,Buckingham County,Buckingham County,white,a0788dcb86,NA,vehicular,FALSE
104262,2006-01-14,Buckingham County,Buckingham County,white,a0788dcb86,NA,vehicular,FALSE
104263,2006-01-14,Buckingham County,Buckingham County,white,a0788dcb86,NA,vehicular,FALSE
104264,2006-01-14,Buckingham County,Buckingham County,white,a0788dcb86,NA,vehicular,FALSE
104265,2006-01-14,Buckingham County,Buckingham County,white,a0788dcb86,NA,vehicular,FALSE
104266,2006-01-14,Buckingham County,Buckingham County,white,a0788dcb86,NA,vehicular,FALSE
104267,2006-01-14,Buckingham County,Buckingham County,white,a0788dcb86,NA,vehicular,FALSE
104268,2006-01-14,Buckingham County,Buckingham County,white,a0788dcb86,NA,vehicular,FALSE
104269,2006-01-14,Buckingham County,Buckingham County,white,a0788dcb86,NA,vehicular,FALSE
104270,2006-01-14,Buckingham County,Buckingham County,white,a0788dcb86,NA,vehicular,FALSE
104271,2006-01-14,Buckingham County,Buckingham County,white,a0788dcb86,NA,vehicular,FALSE
104272,2006-01-14,Buckingham County,Buckingham County,white,a0788dcb86,NA,vehicular,FALSE
104273,2006-01-14,Buckingham County,Buckingham County,white,b88c71625f,NA,vehicular,FALSE
104274,2006-01-14,Buckingham County,Buckingham County,white,b88c71625f,NA,vehicular,FALSE
104275,2006-01-14,Buckingham County,Buckingham County,white,b88c71625f,NA,vehicular,FALSE
