ID,State,Stop - Date,Stop - Time,Location - Raw,County Name,County FIPS,Fine Grained Location,Police Department,Driver Gender,Driver Age - Raw,Driver Age,Driver Race - Raw,Driver Race,Violation - Raw,Violation,Search Conducted,Search Type - Raw,Search Type,Contraband Found,Stop Outcome,Is Arrested,Officer ID,Officer Race
VA-2006-002266,VA,2006-01-07,,35,Giles County,51071,,,,,,White,White,,,FALSE,,,FALSE,,,3158,White
VA-2006-002267,VA,2006-01-07,,35,Giles County,51071,,,,,,White,White,,,FALSE,,,FALSE,,,4436,White
VA-2006-002268,VA,2006-01-07,,35,Giles County,51071,,,,,,White,White,,,FALSE,,,FALSE,,,4436,White
VA-2006-002269,VA,2006-01-07,,35,Giles County,51071,,,,,,White,White,,,FALSE,,,FALSE,,,4436,White
VA-2006-002270,VA,2006-01-07,,35,Giles County,51071,,,,,,White,White,,,FALSE,,,FALSE,,,4436,White
VA-2006-002271,VA,2006-01-07,,35,Giles County,51071,,,,,,White,White,,,FALSE,,,FALSE,,,4436,White
VA-2006-002272,VA,2006-01-07,,35,Giles County,51071,,,,,,White,White,,,FALSE,,,FALSE,,,4436,White
VA-2006-002273,VA,2006-01-07,,35,Giles County,51071,,,,,,White,White,,,FALSE,,,FALSE,,,4436,White
VA-2006-002274,VA,2006-01-07,,35,Giles County,51071,,,,,,White,White,,,FALSE,,,FALSE,,,4436,White
VA-2006-002275,VA,2006-01-07,,35,Giles County,51071,,,,,,White,White,,,FALSE,,,FALSE,,,5319,White
VA-2006-002276,VA,2006-01-07,,35,Giles County,51071,,,,,,White,White,,,FALSE,,,FALSE,,,5319,White
VA-2006-002277,VA,2006-01-07,,35,Giles County,51071,,,,,,White,White,,,FALSE,,,FALSE,,,5319,White
VA-2006-002278,VA,2006-01-07,,35,Giles County,51071,,,,,,White,White,,,FALSE,,,FALSE,,,5319,White
VA-2006-002279,VA,2006-01-07,,35,Giles County,51071,,,,,,White,White,,,FALSE,,,FALSE,,,5319,White
VA-2006-002280,VA,2006-01-07,,35,Giles County,51071,,,,,,White,White,,,FALSE,,,FALSE,,,5319,White
VA-2006-002281,VA,2006-01-07,,35,Giles County,51071,,,,,,White,White,,,FALSE,,,FALSE,,,5319,White
