ID,State,Stop - Date,Stop - Time,Location - Raw,County Name,County FIPS,Fine Grained Location,Police Department,Driver Gender,Driver Age - Raw,Driver Age,Driver Race - Raw,Driver Race,Violation - Raw,Violation,Search Conducted,Search Type - Raw,Search Type,Contraband Found,Stop Outcome,Is Arrested,Officer ID,Officer Race
VA-2006-003528,VA,2006-01-07,,70,Patrick County,51141,,,,,,White,White,,,FALSE,,,FALSE,,,1603,White
VA-2006-003529,VA,2006-01-07,,70,Patrick County,51141,,,,,,White,White,,,FALSE,,,FALSE,,,1603,White
VA-2006-003530,VA,2006-01-07,,70,Patrick County,51141,,,,,,White,White,,,FALSE,,,FALSE,,,1796,White
VA-2006-003531,VA,2006-01-07,,70,Patrick County,51141,,,,,,White,White,,,FALSE,,,FALSE,,,1796,White
VA-2006-003532,VA,2006-01-07,,70,Patrick County,51141,,,,,,White,White,,,FALSE,,,FALSE,,,1796,White
VA-2006-003533,VA,2006-01-07,,70,Patrick County,51141,,,,,,White,White,,,FALSE,,,FALSE,,,1796,White
VA-2006-003534,VA,2006-01-07,,70,Patrick County,51141,,,,,,White,White,,,FALSE,,,FALSE,,,1796,White
VA-2006-003535,VA,2006-01-07,,70,Patrick County,51141,,,,,,White,White,,,FALSE,,,FALSE,,,1796,White
VA-2006-003536,VA,2006-01-07,,70,Patrick County,51141,,,,,,White,White,,,FALSE,,,FALSE,,,1796,White
VA-2006-003537,VA,2006-01-07,,70,Patrick County,51141,,,,,,White,White,,,FALSE,,,FALSE,,,2056,White
VA-2006-003538,VA,2006-01-07,,70,Patrick County,51141,,,,,,White,White,,,FALSE,,,FALSE,,,3716,White
VA-2006-003539,VA,2006-01-07,,70,Patrick County,51141,,,,,,White,White,,,FALSE,,,FALSE,,,3716,White
VA-2006-003540,VA,2006-01-07,,70,Patrick County,51141,,,,,,White,White,,,FALSE,,,FALSE,,,3716,White
VA-2006-003541,VA,2006-01-07,,70,Patrick County,51141,,,,,,White,White,,,FALSE,,,FALSE,,,3716,White
VA-2006-003542,VA,2006-01-07,,70,Patrick County,51141,,,,,,White,White,,,FALSE,,,FALSE,,,3716,White
VA-2006-003543,VA,2006-01-07,,70,Patrick County,51141,,,,,,White,White,,,FALSE,,,FALSE,,,3716,White
VA-2006-003544,VA,2006-01-07,,70,Patrick County,51141,,,,,,White,White,,,FALSE,,,FALSE,,,3716,White
VA-2006-003545,VA,2006-01-07,,70,Patrick County,51141,,,,,,White,White,,,FALSE,,,FALSE,,,3716,White
VA-2006-003546,VA,2006-01-07,,70,Patrick County,51141,,,,,,White,White,,,FALSE,,,FALSE,,,3716,White
