ID,State,Stop - Date,Stop - Time,Location - Raw,County Name,County FIPS,Fine Grained Location,Police Department,Driver Gender,Driver Age - Raw,Driver Age,Driver Race - Raw,Driver Race,Violation - Raw,Violation,Search Conducted,Search Type - Raw,Search Type,Contraband Found,Stop Outcome,Is Arrested,Officer ID,Officer Race
VA-2006-004230,VA,2006-01-07,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,3923,White
VA-2006-004231,VA,2006-01-07,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,3923,White
VA-2006-004232,VA,2006-01-07,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,3923,White
VA-2006-004233,VA,2006-01-07,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,3923,White
VA-2006-004234,VA,2006-01-07,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,3923,White
VA-2006-004235,VA,2006-01-07,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,3923,White
VA-2006-004236,VA,2006-01-07,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,3923,White
VA-2006-004237,VA,2006-01-07,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,3923,White
VA-2006-004238,VA,2006-01-07,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,4617,White
VA-2006-004239,VA,2006-01-07,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,4617,White
VA-2006-004240,VA,2006-01-07,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,4617,White
VA-2006-004241,VA,2006-01-07,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,4617,White
VA-2006-004242,VA,2006-01-07,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,5903,White
VA-2006-004243,VA,2006-01-07,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,5903,White
VA-2006-004244,VA,2006-01-07,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,5903,White
VA-2006-004245,VA,2006-01-07,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,5903,White
VA-2006-004246,VA,2006-01-07,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,5903,White
VA-2006-004247,VA,2006-01-07,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,5903,White
VA-2006-004248,VA,2006-01-07,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,5903,White
VA-2006-004249,VA,2006-01-07,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,6015,White
VA-2006-004250,VA,2006-01-07,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,6015,White
VA-2006-004251,VA,2006-01-07,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,6015,White
VA-2006-004252,VA,2006-01-07,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,6015,White
VA-2006-004253,VA,2006-01-07,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,6015,White
VA-2006-004254,VA,2006-01-07,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,6015,White
VA-2006-004255,VA,2006-01-07,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,6015,White
VA-2006-004256,VA,2006-01-07,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,6015,White
VA-2006-004257,VA,2006-01-07,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,6015,White
VA-2006-004258,VA,2006-01-07,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,6015,White
VA-2006-007194,VA,2006-01-07,,84,Scott County,51169,,,,,,Black,Black,,,FALSE,,,FALSE,,,3923,White
VA-2006-013705,VA,2006-01-14,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,2358,White
VA-2006-013706,VA,2006-01-14,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,2358,White
VA-2006-013707,VA,2006-01-14,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,2358,White
VA-2006-013708,VA,2006-01-14,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,2358,White
VA-2006-013709,VA,2006-01-14,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,3923,White
VA-2006-013710,VA,2006-01-14,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,3923,White
VA-2006-013711,VA,2006-01-14,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,3923,White
VA-2006-013712,VA,2006-01-14,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,3923,White
VA-2006-013713,VA,2006-01-14,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,3923,White
VA-2006-013714,VA,2006-01-14,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,3923,White
VA-2006-013715,VA,2006-01-14,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,3923,White
VA-2006-013716,VA,2006-01-14,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,3923,White
VA-2006-013717,VA,2006-01-14,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,3923,White
VA-2006-013718,VA,2006-01-14,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,3923,White
VA-2006-013719,VA,2006-01-14,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,3923,White
VA-2006-013720,VA,2006-01-14,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,3923,White
VA-2006-013721,VA,2006-01-14,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,3923,White
VA-2006-013722,VA,2006-01-14,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,3923,White
VA-2006-013723,VA,2006-01-14,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,3923,White
