,Number of Domestic Violence Victims,,,,,"Number of Domestic Violence Victims Per 1,000 Population",,,,,Rate Percentage Change
Locality,"2,006","2,007","2,008","2,009","2,010",2006,2007,2008,2009,2010,2006-2010
Amherst Co,118,158,145,121,151,3.6,4.9,4.5,3.7,4.7,30.6
Appomattox Co,15,13,29,20,29,1,0.9,2,1.4,1.9,9000.00%
Bedford Co,436,434,504,480,471,6.6,6.6,7.6,7.2,6.9,4.5
Botetourt Co,156,116,110,115,145,4.8,3.6,3.3,3.5,4.4,-8.3
Campbell Co,458,396,364,412,391,8.8,7.6,6.9,7.7,7.1,-19.3
Craig Co,21,15,18,32,17,4,2.9,3.4,6.1,3.3,-17.5
Franklin Co,174,121,138,153,129,3.4,2.3,2.6,2.9,2.3,-32.4
Giles Co,56,55,88,89,84,3.4,3.4,5.4,5.3,4.9,44.1
Montgomery Co,644,631,660,644,632,7.3,7.1,7.3,7,6.7,-8.2
Pulaski Co,212,203,302,506,479,6.1,5.9,8.8,14.8,13.7,124.6
Roanoke Co,559,628,629,616,697,6.2,6.9,6.9,6.6,7.5,2100.00%
Bedford C,100,99,64,97,82,16.4,16.3,10.5,15.9,13.2,-19.5
Lynchburg C,"1,036","1,157","1,198","1,130","1,100",15.1,16.5,16.8,15.6,14.6,-3.3
Radford C,139,123,170,143,122,9,8,10.9,9.4,7.4,-17.8
Roanoke C,"1,834","2,161","2,163","2,220","2,471",19.7,23.5,23.3,23.8,25.5,29.4
Salem C,159,185,163,180,247,6.4,7.5,6.5,7.2,10,56.3
Total,"6,117","6,495","6,745","6,958","7,247",8.8,9.4,9.6,9.8,10,1360.00%
