,Number of Arrests,,,,,,Percent Change 2006-2010,Percent Distibution Total
Most Serious Arrest Offense,"2,006","2,007","2,008","2,009","2,010",Total,,
Homicide Offenses ,39,36,33,28,42,178,7.7,0.20%
Murder and Non-negligent Manslaughter ,37,34,31,27,38,167,2.7,0.20%
Negligent Manslaughter ,2,2,2,1,4,11,100,0.00%
Justifiable Homicide ,na ,na ,na ,na ,na ,na ,na ,na
Sexual Assault Offenses ,281,283,330,291,339,"1,524",20.6,1.90%
Forcible Sexual Assault ,266,274,317,282,325,"1,464",22.2,1.80%
Forcible Rape ,80,72,105,68,75,400,-6.3,0.50%
Forcible Sodomy ,45,53,57,58,54,267,20,0.30%
Sexual Assault With An Object ,19,24,25,26,29,123,52.6,0.20%
Forcible Fondling ,122,125,130,130,167,674,36.9,0.80%
Non-Forcible Sexual Assault ,15,9,13,9,14,60,-6.7,0.10%
Incest ,11,6,7,4,3,31,-72.7,0.00%
Statutory Rape ,4,3,6,5,11,29,175,0.00%
Robbery ,32,36,23,24,24,139,-25,0.20%
Assault Offenses,"14,506","15,079","15,234","15,693","16,903","77,415",16.5,96.40%
Aggravated Assault ,945,905,883,879,871,"4,483",-7.8,5.60%
Simple Assault ,"13,338","13,948","14,092","14,548","15,774","71,700",18.3,89.30%
Intimidation (includes Stalking) ,223,226,259,266,258,"1,232",15.7,1.50%
Kidnapping/Abduction ,199,209,213,233,225,"1,079",13.1,1.30%
Total ,"15,057","15,643","15,833","16,269","17,533","80,335",16.4,100.00%
