Name: “Table 1 of 1 on page 55 of 57”,Name: “Table 1 of 1 on page 55 of 57”,Name: “Table 1 of 1 on page 55 of 57”,Name: “Table 1 of 1 on page 55 of 57”,Name: “Table 1 of 1 on page 55 of 57”,Name: “Table 1 of 1 on page 55 of 57”,Name: “Table 1 of 1 on page 55 of 57”,Name: “Table 1 of 1 on page 55 of 57”,Name: “Table 1 of 1 on page 55 of 57”,Name: “Table 1 of 1 on page 55 of 57”
Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55
,,,,,,,,,
,,,APPENDIX E,APPENDIX E,APPENDIX E,APPENDIX E,,,
Shenandoah County,Shenandoah County,Shenandoah County,,Northern,Northern,,,Northwest,
Smyth County,Smyth County,Smyth County,,Western,Western,,,Southwest,
Southampton County,Southampton County,Southampton County,,Tidewater,Tidewater,,,Eastern,
Spotsylvania County,Spotsylvania County,Spotsylvania County,,Central,Central,,,Northwest,
Stafford County,Stafford County,Stafford County,,Central,Central,,,Northwest,
Staunton City,Staunton City,Staunton City,,Western,Western,,,Northwest,
Suffolk City,Suffolk City,,,Tidewater,Tidewater,,,Eastern,
Surry County,Surry County,Surry County,,Central,Central,,,Central,
Sussex County,Sussex County,Sussex County,,Central,Central,,,Central,
Tazewell County,Tazewell County,Tazewell County,,Western,Western,,,Southwest,
Virginia Beach City,Virginia Beach City,Virginia Beach City,,Tidewater,Tidewater,,,Eastern,
Warren County,Warren County,Warren County,,Northern,Northern,,,Northwest,
Washington County,Washington County,Washington County,,Western,Western,,,Southwest,
Waynesboro City,Waynesboro City,Waynesboro City,,Western,Western,,,Northwest,
Westmoreland County,Westmoreland County,Westmoreland County,,Central,Central,,,Eastern,
Williamsburg City,Williamsburg City,Williamsburg City,,Central,Central,,,Eastern,
Winchester City,Winchester City,Winchester City,,Northern,Northern,,,Northwest,
Wise County,Wise County,,,Western,Western,,,Southwest,
Wythe County,Wythe County,Wythe County,,Western,Western,,,Southwest,
York County,York County,,,Tidewater,Tidewater,,,Eastern,
VIRGINIA,STATE,CHILD,FATALITY,REVIEW,TEAM,–,MARCH,2014,Page 47
