Name: “Table 1 of 1 on page 20 of 110”,Name: “Table 1 of 1 on page 20 of 110”,Name: “Table 1 of 1 on page 20 of 110”,Name: “Table 1 of 1 on page 20 of 110”,Name: “Table 1 of 1 on page 20 of 110”,Name: “Table 1 of 1 on page 20 of 110”,Name: “Table 1 of 1 on page 20 of 110”
Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20
,,,,,,
,"Figure 8. Total Cases by Manner of Death by Gender, 2005","Figure 8. Total Cases by Manner of Death by Gender, 2005","Figure 8. Total Cases by Manner of Death by Gender, 2005","Figure 8. Total Cases by Manner of Death by Gender, 2005","Figure 8. Total Cases by Manner of Death by Gender, 2005",
90.0%,,,,,,
,,,,78.9%,79.2%,
80.0%,,,,,,
70.0%,67.9%,,,67.6%,,
,,,,,,64.2%
60.0%,,,,,,
50.0%,,,,,,
40.0%,,,,,,
,,,,,,35.8%
,32.1%,,,32.4%,,
30.0%,,,,,,
,,,,21.1%,20.8%,
20.0%,,,,,,
10.0%,,,,,,
0.0%,,,,,,
,Accident,Homicide,Natural,Natural,Suicide,Undetermined
,,,,Male,Female,
,,"Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006",
,,,Page 14,,,
