Name: “Table 1 of 1 on page 140 of 168”,Name: “Table 1 of 1 on page 140 of 168”,Name: “Table 1 of 1 on page 140 of 168”
Table: 140,Table: 140,Table: 140
,,
,,P a g e | 138
Class,Drug/Poison/Active Metabolite,Total
,CARBOXYHEMOGLOBIN,2
,CHLOROETHANE,1
,DIFLUOROETHANE,5
,ETHYLENE GLYCOL,3
,METOCLOPRAMIDE,1
,PHENCYCLIDINE,1
,Other Total,15
Sedative/Hypnotic,Sedative/Hypnotic,
,BUTALBITAL,4
,N-DESALKYFLURAZEPAM (Flurazepam Metabolite),1
,PROMETHAZINE,20
,TEMAZEPAM,8
,ZOLPIDEM,16
,Sedative/Hypnotic Total,49
Stimulant,,
,AMPHETAMINE,2
,COCAETHYLENE,15
,COCAINE,54
,METHAMPHETAMINE,4
,METHYLENEDIOXYMETHAMPHETAMINE - ECSTASY,2
,METHYLPHENIDATE,2
,Stimulant Total,79
Total,,1459
Virginia Department of Health,Office of the Chief Medical Examiner,February 2011
