Name: “Table 1 of 1 on page 153 of 168”,Name: “Table 1 of 1 on page 153 of 168”,Name: “Table 1 of 1 on page 153 of 168”,Name: “Table 1 of 1 on page 153 of 168”,Name: “Table 1 of 1 on page 153 of 168”,Name: “Table 1 of 1 on page 153 of 168”
Table: 153,Table: 153,Table: 153,Table: 153,Table: 153,Table: 153
,,,,,
,,,,,P a g e | 151
City/County of Residence,Deaths,Rate,City/County of Residence,Deaths,Rate
Hampton,3,2.1,Powhatan,0,0.0
Hanover,1,1.0,Prince Edward,0,0.0
Harrisonburg,0,0.0,Prince George,2,5.4
Henrico,10,3.4,Prince William,10,2.6
Henry,1,1.8,Pulaski,0,0.0
Highland,0,0.0,Radford,0,0.0
Hopewell,1,4.3,Rappahannock,1,14.2
Isle of Wight,2,5.6,Richmond City,12,5.9
James City,1,1.6,Richmond,0,0.0
King and Queen,0,0.0,Roanoke City,5,5.3
King George,0,0.0,Roanoke,0,0.0
King William,1,6.2,Rockbridge,0,0.0
Lancaster,0,0.0,Rockingham,0,0.0
Lee,0,0.0,Russell,0,0.0
Lexington,0,0.0,Salem,1,3.9
Loudoun,1,0.3,Scott,0,0.0
Louisa,1,3.0,Shenandoah,1,2.4
Lunenburg,0,0.0,Smyth,0,0.0
Lynchburg,0,0.0,Southampton,0,0.0
Madison,0,0.0,Spotsylvania,1,0.8
Manassas,2,5.5,Stafford,3,2.4
Martinsville,0,0.0,Staunton,0,0.0
Mathews,0,0.0,Suffolk,0,0.0
Mecklenburg,0,0.0,Surry,0,0.0
Middlesex,0,0.0,Sussex,0,0.0
Montgomery,1,1.1,Tazewell,1,2.2
Nelson,0,0.0,Virginia Beach,6,1.4
New Kent,0,0.0,Warren,1,2.7
Newport News,6,3.1,Washington,1,1.9
Norfolk,9,3.9,Waynesboro,0,0.0
Northampton,0,0.0,Westmoreland,0,0.0
Northumberland,0,0.0,Williamsburg,1,7.9
Norton,0,0.0,Winchester,2,7.6
Nottoway,0,0.0,Wise,0,0.0
Orange,0,0.0,Wythe,0,0.0
Page,0,0.0,York,0,0.0
Patrick,1,5.4,Total in State,159,2.0
Petersburg,1,3.0,Out of State,8,ND*
Pittsylvania,1,1.6,Unknown,1,ND
Poquoson,0,0.0,TOTAL,168,ND
Portsmouth,4,4.0,*ND-No denominator,,
Virginia Department of Health,,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,,February 2011
