Name: “Table 1 of 1 on page 161 of 168”,Name: “Table 1 of 1 on page 161 of 168”,Name: “Table 1 of 1 on page 161 of 168”,Name: “Table 1 of 1 on page 161 of 168”
Table: 161,Table: 161,Table: 161,Table: 161
,,,
,,,P a g e | 159
"Table 58. State Mental Health Deaths by Cause of Death, 2009","Table 58. State Mental Health Deaths by Cause of Death, 2009","Table 58. State Mental Health Deaths by Cause of Death, 2009",
Natural Deaths,Natural Deaths,Total Cases,Autopsied
Pulmonary Diseases/Disorders,Pulmonary Diseases/Disorders,24,6
COPD,,2,0
Emboli,,1,0
Pneumonia,,19,6
Pulmonary Malignancy,Pulmonary Malignancy,2,0
Central Nervous System Diseases/Disorders,Central Nervous System Diseases/Disorders,9,3
Seizure Disorder,Seizure Disorder,2,1
Vascular Disease,Vascular Disease,1,0
Degenerative Disease,Degenerative Disease,3,0
Other CNS Disease/Disorder,Other CNS Disease/Disorder,3,2
Cardiovascular Diseases/Disorders,Cardiovascular Diseases/Disorders,13,7
Atherosclerosis,Atherosclerosis,5,4
Hypertenstion,,6,2
Atherosclerosis & Hypertension,Atherosclerosis & Hypertension,1,1
Valvular,,1,0
Gastrointestinal Diseases/Disorders,Gastrointestinal Diseases/Disorders,14,6
Hepatitis,,1,1
GI Malignancy,,7,3
Other GI Disease/Disorder,Other GI Disease/Disorder,6,2
Genitourinal Diseases/Disorders,Genitourinal Diseases/Disorders,2,0
Renal Disease,,1,0
Other GU Disease/Disorder,Other GU Disease/Disorder,1,0
Systemic Diseases/Disorders,Systemic Diseases/Disorders,7,2
Diabetes,,2,1
Sepsis,,2,0
Other Infectious Disease,Other Infectious Disease,2,1
Metastatic Malignancy Unknown Primary,Metastatic Malignancy Unknown Primary,1,0
Other Natural Diseases/Disorders,Other Natural Diseases/Disorders,4,2
Other Malignancy,Other Malignancy,1,0
Other Natural Disease/Disorder,Other Natural Disease/Disorder,3,2
Natural Subtotal,,73,26
Unnatural Deaths,,Total Cases,Autopsied
Asphyxia,,1,1
Hanging,,1,1
Blunt Force Injuries,,2,0
Extremities,,1,0
Multiple,,1,0
Unnatural Subtotal,,3,1
TOTAL,,76,27
Virginia Department of Health,Office of the Chief Medical Examiner,,February 2011
