Name: “Table 1 of 1 on page 55 of 168”,Name: “Table 1 of 1 on page 55 of 168”,Name: “Table 1 of 1 on page 55 of 168”,Name: “Table 1 of 1 on page 55 of 168”,Name: “Table 1 of 1 on page 55 of 168”,Name: “Table 1 of 1 on page 55 of 168”,Name: “Table 1 of 1 on page 55 of 168”,Name: “Table 1 of 1 on page 55 of 168”,Name: “Table 1 of 1 on page 55 of 168”
Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55
,,,,,,,,
,,,,,,,,P a g e | 53
,,"Figure Ϯ1. Accidental Deaths by Month of Death, 2009","Figure Ϯ1. Accidental Deaths by Month of Death, 2009","Figure Ϯ1. Accidental Deaths by Month of Death, 2009","Figure Ϯ1. Accidental Deaths by Month of Death, 2009","Figure Ϯ1. Accidental Deaths by Month of Death, 2009",,
250,,,,,,,,
,,,203,,,,,204
200,,192,,194,,192,,
,,186,,,,,,
,,,,181,,,,
,,,,,171,,,172
,,,163,,,,,
,,159,,,,158,,
150,,,,,,,,
100,,,,,,,,
50,,,,,,,,
0,,,,,,,,
,,"Figure Ϯ2. Accidental Deaths by Day of Death, 2009","Figure Ϯ2. Accidental Deaths by Day of Death, 2009","Figure Ϯ2. Accidental Deaths by Day of Death, 2009","Figure Ϯ2. Accidental Deaths by Day of Death, 2009","Figure Ϯ2. Accidental Deaths by Day of Death, 2009",,
450,,,,,,,,
,,,,,,,,418
400,,,,,,,,
350,,332,,,,,,
,,,,,,320,,
300,,,,288,283,,,
,,,270,,,,,
,,264,,,,,,
250,,,,,,,,
200,,,,,,,,
150,,,,,,,,
100,,,,,,,,
50,,,,,,,,
0,,,,,,,,
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,
Virginia Department of Health,,,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,,,February 2011
