Name: “Table 1 of 1 on page 103 of 179”,Name: “Table 1 of 1 on page 103 of 179”,Name: “Table 1 of 1 on page 103 of 179”,Name: “Table 1 of 1 on page 103 of 179”
Table: 103,Table: 103,Table: 103,Table: 103
,,,
,,,P a g e | 101
"Table 28. Child Homicide Deaths by Method of Death, 2010","Table 28. Child Homicide Deaths by Method of Death, 2010","Table 28. Child Homicide Deaths by Method of Death, 2010",
Method of Death,Method of Death,Total Cases,Autopsied
Asphyxia,,,
,Strangulation,1,1
Traumatic Injury,Traumatic Injury,,
,Beaten by assailant(s),16,15
,Fall/Push,1,1
,Shot by assailant(s) with firearm,12,12
,Handgun,(6),(6)
,Rifle,(5),(5)
,Unspecified,(1),(1)
,Stabbed by assailant(s),3,3
,Other,1,1
Unknown,,,
,Undetermined method,1,1
Total,,35,34
Virginia Department of Health,Office of the Chief Medical Examiner,,December 2011
