Name: “Table 1 of 1 on page 154 of 200”,Name: “Table 1 of 1 on page 154 of 200”,Name: “Table 1 of 1 on page 154 of 200”,Name: “Table 1 of 1 on page 154 of 200”,Name: “Table 1 of 1 on page 154 of 200”,Name: “Table 1 of 1 on page 154 of 200”,Name: “Table 1 of 1 on page 154 of 200”,Name: “Table 1 of 1 on page 154 of 200”,Name: “Table 1 of 1 on page 154 of 200”,Name: “Table 1 of 1 on page 154 of 200”,Name: “Table 1 of 1 on page 154 of 200”,Name: “Table 1 of 1 on page 154 of 200”,Name: “Table 1 of 1 on page 154 of 200”,Name: “Table 1 of 1 on page 154 of 200”,Name: “Table 1 of 1 on page 154 of 200”,Name: “Table 1 of 1 on page 154 of 200”,Name: “Table 1 of 1 on page 154 of 200”,Name: “Table 1 of 1 on page 154 of 200”,Name: “Table 1 of 1 on page 154 of 200”,Name: “Table 1 of 1 on page 154 of 200”
Table: 154,Table: 154,Table: 154,Table: 154,Table: 154,Table: 154,Table: 154,Table: 154,Table: 154,Table: 154,Table: 154,Table: 154,Table: 154,Table: 154,Table: 154,Table: 154,Table: 154,Table: 154,Table: 154,Table: 154
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,P a g e | 152,P a g e | 152
"Figure 5.8 Total Number of OCME Drug/Poison Deaths by Drug Category and Ethanol Level, 2012","Figure 5.8 Total Number of OCME Drug/Poison Deaths by Drug Category and Ethanol Level, 2012","Figure 5.8 Total Number of OCME Drug/Poison Deaths by Drug Category and Ethanol Level, 2012","Figure 5.8 Total Number of OCME Drug/Poison Deaths by Drug Category and Ethanol Level, 2012","Figure 5.8 Total Number of OCME Drug/Poison Deaths by Drug Category and Ethanol Level, 2012","Figure 5.8 Total Number of OCME Drug/Poison Deaths by Drug Category and Ethanol Level, 2012","Figure 5.8 Total Number of OCME Drug/Poison Deaths by Drug Category and Ethanol Level, 2012","Figure 5.8 Total Number of OCME Drug/Poison Deaths by Drug Category and Ethanol Level, 2012","Figure 5.8 Total Number of OCME Drug/Poison Deaths by Drug Category and Ethanol Level, 2012","Figure 5.8 Total Number of OCME Drug/Poison Deaths by Drug Category and Ethanol Level, 2012","Figure 5.8 Total Number of OCME Drug/Poison Deaths by Drug Category and Ethanol Level, 2012","Figure 5.8 Total Number of OCME Drug/Poison Deaths by Drug Category and Ethanol Level, 2012","Figure 5.8 Total Number of OCME Drug/Poison Deaths by Drug Category and Ethanol Level, 2012","Figure 5.8 Total Number of OCME Drug/Poison Deaths by Drug Category and Ethanol Level, 2012","Figure 5.8 Total Number of OCME Drug/Poison Deaths by Drug Category and Ethanol Level, 2012","Figure 5.8 Total Number of OCME Drug/Poison Deaths by Drug Category and Ethanol Level, 2012","Figure 5.8 Total Number of OCME Drug/Poison Deaths by Drug Category and Ethanol Level, 2012","Figure 5.8 Total Number of OCME Drug/Poison Deaths by Drug Category and Ethanol Level, 2012","Figure 5.8 Total Number of OCME Drug/Poison Deaths by Drug Category and Ethanol Level, 2012","Figure 5.8 Total Number of OCME Drug/Poison Deaths by Drug Category and Ethanol Level, 2012"
350,,,,,,,,,,,,,,,,,,,334
,No Ethanol,No Ethanol,,,,,,,,,,,,,,,,,
,0.01-0.07% W/V,0.01-0.07% W/V,0.01-0.07% W/V,0.01-0.07% W/V,,,,,,,,,,,,,,,
300,≥0.08% W/V,≥0.08% W/V,,,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,,,,
