Name: “Table 1 of 1 on page 82 of 87”,Name: “Table 1 of 1 on page 82 of 87”,Name: “Table 1 of 1 on page 82 of 87”
Table: 82,Table: 82,Table: 82
,,
VIRGINIA MEDICAL EXAMINERS,VIRGINIA MEDICAL EXAMINERS,
"Todd Abbott, MD","Ralph Dimattia, MD","Robert Karnei, MD"
"Jose Abrenio, MD","James Dudley, MD","Vytas Kazlauskas, MD"
"Christopher Ackerman, MD","J. Dunn, MD","Mary Kegley, MD"
"Kurtz Alderman, MD","Kevin Dwyer, MD","Vickie Kinsel, MD"
"Jill Allen, MD","William Eddins, MD","Andrew Kramer, MD"
"David Alligood, MD","Patricia Elliott, MD","David Lander, MD"
"Charles Anderson, MD","Frances Evans, MD","James Ledwith, MD"
"Jonathan Arden, MD","David Fairbanks, MD","Gordon Leonard, MD"
"Colleen Arnold, MD","Joseph Ferguson, MD","Augustine Lewis, MD"
"Charles Ashby, MD","P. Ferraraccio, MD","John Lewis, MD"
"Evan Ashby, MD","Robert Fierro, MD","Karl Lewis, MD"
"Samuel Atkins, MD","Kent Folsom, MD","Steven Lewis, MD"
"Frederick Avis, MD","Dominic Frasca, MD","Paul Lilly, MD"
"Charles Barclay, MD","Linda Frasca, MD","H. Lippman, MD"
"Natalie Barron, MD","Ann Fulenwider, MD","David Livingston, MD"
"Randall Bashore, MD","Susan Funk, MD","Desmond Longford, MD"
"James Batten, MD","Valerio Genta, MD","Nance Lovelace, MD"
"Emerson Baugh, MD","Clyde Gibb, MD","Todd Luckasevic, MD"
"Victor Bell, MD","Ronald Goings, MD","Kimberley Ludlow, MD"
"Paul Benson, MD","Edna Gordon, MD","Wayne Lundie, MD"
"Eskender Beyene, MD","Edward Gordon, MD","James Lynch, MD"
"Noelle Bissell, MD","Arnold Graboyes, MD","Brian Maggard, MD"
"Gary Bluemink, MD","N. Gray, MD","Albert Magnin, MD"
"Lewis Bridgforth, MD","Susan Griffin, MD","Michael Margolius, MD"
"Jackie Briggs, MD","Michael Grillon, MD","Harold Markham, MD"
"James Britton, MD","Fabio Gutierrez, MD","Jerry Martin, MD"
"David Brown, MD","W Gwathmey, MD","Mary Martin, MD"
"Douglas Brown, MD","E. Haga, MD","Benjamin Mcilwaine, MD"
"Joseph Brown, MD","Marian Hahesy-Calhoun, MD","Harold McNeil, MD"
"Brian Buchanan, MD","Robert Hale, MD","Samuel Melton, MD"
"Jack Bumgardner, MD","S. Hamilton, MD","Ignacio Mendiguren, MD"
"Donald Carver, MD","Thomas Hamilton, MD","Randolph Merrick, MD"
"John Cary, MD","William Handy, MD","Willard Milby, MD"
"Beverly Chambers, MD","Carl Hanks, MD","G. Mitchell, MD"
"Guy Clark, MD","James Harris, MD","Earl Moore, MD"
"Richard Clark, MD","Denise Harrison, MD","James Moore, MD"
"Mark Clarke, MD","William Hauda, MD","Dale Moreno, MD"
"Donald Clary, MD","Donald Haut, MD","Lawrence Moter, MD"
"Elizabeth Clemens, MD","D. Hayes, MD","Eneya Mulagha, MD"
"Richard Cole, MD","W. Hendricks, MD","Thomas Murphy, MD"
"Geoffrey Coleman, MD","Kelly Hickey, MD","Kevin Murray, MD"
"George Coleman, MD","Paul Hine, MD","Maurice Nida, MD"
"Terence Colpitts, MD","James Ho, MD","William Olson, MD"
"Eugene Corbett, MD","George Hocker, MD","Susan Osborne, MD"
"Malcolm Cothran, MD","Richard Hoffman, MD","Beryl Owens, MD"
"Patrick Craft, MD","James Holleran, MD","James Patterson, MD"
"David Cresson, MD","Richard Honablue, MD","Debra Perina, MD"
"Jordan Crovatin, MD","Wallace Horne, MD","Carroll Petty, MD"
"Charles Crowder, MD","Richard Hosfield, MD","Frederic Phillips, MD"
"Lina Crowder, MD","Alden Hostetter, MD","Mark Pierce, MD"
"Michael Cunningham, MD","P. Hoyt, MD","Padmaja Polavarapu, MD"
"James Dale, MD","W. Hundley, MD","Elizabeth Polk, MD"
"George Damewood, MD","Michael Hurst, MD","Jerome Provenzano, MD"
"Rosier Dedwylder, MD","Neville Jackson, MD","Timothy Raines, MD"
"Ralph Desimone, MD","Bernard Jamison, MD","Karen Ransone, MD"
"Robert Devereaux, MD","E. Joslyn, MD","Sterling Ransone, MD"
"Charles Devine, MD","Richard Joyce, MD","N. Ratliffe, MD"
,"Virginia Department of Health, Office of the Chief Medical Examiner  November 2004","Virginia Department of Health, Office of the Chief Medical Examiner  November 2004"
,,Page 77
