Name: “Table 1 of 1 on page 36 of 162”,Name: “Table 1 of 1 on page 36 of 162”,Name: “Table 1 of 1 on page 36 of 162”,Name: “Table 1 of 1 on page 36 of 162”,Name: “Table 1 of 1 on page 36 of 162”,Name: “Table 1 of 1 on page 36 of 162”,Name: “Table 1 of 1 on page 36 of 162”,Name: “Table 1 of 1 on page 36 of 162”
Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36
,,,,,,,
,,,,,,P a g e,| 34
,,,Manner of Death,Manner of Death,,Continued,Continued
,Accident,Homicide,Natural,Suicide,Undetermined,,
County/City of Injury/Illness,Total,Total,Total,Total,Total,Total,Total
Fredericksburg,15,2,18,5,0,40,
Galax,0,0,3,2,0,5,
Giles,9,0,2,3,1,15,
Gloucester,16,1,7,9,0,33,
Goochland,10,2,7,2,0,21,
Grayson,2,7,3,5,0,17,
Greene,5,0,2,2,0,9,
Greensville,2,6,20,0,0,28,
Halifax,27,4,10,4,0,45,
Hampton,28,9,50,18,5,110,
Hanover,26,1,14,17,0,58,
Harrisonburg,3,1,3,4,2,13,
Henrico,76,16,58,25,3,178,
Henry,34,6,23,19,3,85,
Highland,2,0,2,0,0,4,
Hopewell,6,3,8,2,0,19,
Isle of Wight,15,2,6,0,0,23,
James City,24,1,34,9,0,68,
King and Queen,5,0,0,2,0,7,
King George,8,0,5,2,0,15,
King William,5,0,4,1,0,10,
Lancaster,6,1,4,4,0,15,
Lee,10,2,11,7,1,31,
Lexington,1,0,0,0,0,1,
Loudoun,27,4,26,13,2,72,
Louisa,17,1,10,2,2,32,
Lunenburg,9,2,4,1,1,17,
Lynchburg,24,4,18,13,1,60,
Madison,6,1,5,3,0,15,
Manassas,6,4,6,9,1,26,
Martinsville,8,2,11,0,1,22,
Mathews,1,0,3,2,1,7,
Mecklenburg,11,4,12,7,0,34,
Middlesex,6,0,2,1,0,9,
Montgomery,27,3,17,8,0,55,
Nelson,6,0,4,3,0,13,
New Kent,7,1,7,2,0,17,
Newport News,36,16,65,18,5,140,
Norfolk,59,29,101,29,10,228,
Northampton,10,0,5,1,0,16,
Northumberland,8,0,3,2,0,13,
Norton,1,0,1,2,0,4,
Nottoway,3,0,10,4,0,17,
Orange,13,1,8,5,2,29,
Page,4,0,1,7,1,13,
Patrick,11,0,5,4,0,20,
Petersburg,14,5,23,7,0,49,
Pittsylvania,37,3,19,6,2,67,
Poquoson,1,0,1,1,0,3,
Virginia Department of Health,,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,,,November 2009,November 2009
