Name: “Table 1 of 1 on page 116 of 125”,Name: “Table 1 of 1 on page 116 of 125”,Name: “Table 1 of 1 on page 116 of 125”
Table: 116,Table: 116,Table: 116
,,
Class,Drug/Metabolite,Total
,HYDROCODONE,71
,HYDROMORPHONE,9
,MEPERIDINE,1
,METHADONE,158
,MONOACETYLMORPHINE (Heroin Metabolite),5
,MORPHINE,111
,NORPROPOXYPH ENE (Propoxyphene Metabolite),2
,OXYCODONE,95
,OXYMORPHONE,8
,PROPOXYPHENE,25
,Nar cotic Total,578
Ot h er,,
,AMANTADINE,1
,CHLORODIFLUORIDE,1
,DIAZINON,1
,DIFLUOROETHANE,1
,ETHYLENE GLYCOL,6
,ISOBUTANE,1
,METFORMIN,1
,METOCLOPRAMIDE,2
,NORVASC,1
,PHENCYCLIDINE,1
,PROPANE,1
,VOLATILE COM POUND,2
,Other Total,19
Se dat ive,,
,BUTABARBITAL,1
,BUTALBITAL,7
,FLURAZEPAM,2
,GAMMA-HYDROXYBUTYRATE,1
,PENTOBARBITAL,1
,PROMETHAZINE,13
,TEMAZEPAM,5
,ZOLPIDEM,11
,ZOPICLONE,1
,Sedative Total,42
Stimulant,,
,AMPHETAMINE,1
,BENZOYL ECGONINE (Cocaine Metabolite),64
,CAFFEINE,1
,COCAETHYLENE (Cocaine Metabolite),18
,"Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007",
,Page 110,
