Name: “Table 1 of 1 on page 43 of 125”,Name: “Table 1 of 1 on page 43 of 125”,Name: “Table 1 of 1 on page 43 of 125”,Name: “Table 1 of 1 on page 43 of 125”,Name: “Table 1 of 1 on page 43 of 125”,Name: “Table 1 of 1 on page 43 of 125”,Name: “Table 1 of 1 on page 43 of 125”,Name: “Table 1 of 1 on page 43 of 125”
Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43
,,,,,,,
,LEADING METHODS OF DEATH OF ACCIDENTAL DEATHS,LEADING METHODS OF DEATH OF ACCIDENTAL DEATHS,LEADING METHODS OF DEATH OF ACCIDENTAL DEATHS,LEADING METHODS OF DEATH OF ACCIDENTAL DEATHS,LEADING METHODS OF DEATH OF ACCIDENTAL DEATHS,LEADING METHODS OF DEATH OF ACCIDENTAL DEATHS,
,,,Ingested and/or,,,,
,,,"injected illicit,",,Passenger,Pedestrian,
Locality of injury leading to,,,"prescription, and/or",Driver of,of,hit by,
accidental death,Drowned,Fall,OTC medications,auto/truck,auto/truck,auto/truck,TOTAL
CARROLL COUNTY,0,1,4,9,1,0,15
CHARLES CITY COUNTY,0,0,0,1,1,0,2
CHARLOTTE COUNTY,2,0,0,2,0,0,4
CHARLOTTESVILLE,0,5,5,4,2,1,17
CHESAPEAKE,2,9,11,13,8,3,46
CHESTERFIELD COUNTY,4,9,10,9,10,2,44
CLARKE COUNTY,0,0,0,2,1,0,3
COLONIAL HEIGHTS,0,0,4,1,1,0,6
COVINGTON,0,2,0,1,0,0,3
CRAIG COUNTY,0,0,1,2,2,0,5
CULPEPER COUNTY,0,0,4,6,1,0,11
CUMBERLAND COUNTY,0,0,1,0,0,0,1
DANVILLE,0,1,6,3,0,0,10
DICKENSON COUNTY,1,0,7,0,0,0,8
DINWIDDIE COUNTY,1,2,0,4,2,0,9
EMPORIA,0,1,0,1,0,0,2
ESSEX COUNTY,0,1,1,1,0,0,3
FAIRFAX CITY,0,0,0,1,1,1,3
FAIRFAX COUNTY,10,70,22,39,18,24,183
FAUQUIER COUNTY,1,2,2,7,2,0,14
FLOYD COUNTY,0,1,3,4,0,0,8
FLUVANNA COUNTY,0,3,0,2,2,0,7
FRANKLIN CITY,0,0,2,0,0,0,2
FRANKLIN COUNTY,0,3,7,8,6,0,24
FREDERICK COUNTY,1,3,5,6,1,2,18
FREDERICKSBURG,1,8,5,3,2,0,19
GILES COUNTY,2,1,3,1,1,0,8
GLOUCESTER COUNTY,1,3,1,5,5,1,16
GOOCHLAND COUNTY,0,2,1,2,0,0,5
GRAYSON COUNTY,2,0,0,6,0,0,8
GREENE COUNTY,1,0,0,2,0,0,3
GREENSVILLE COUNTY,0,1,0,3,4,0,8
HALIFAX COUNTY,0,1,2,7,0,0,10
HAMPTON,1,4,9,6,1,1,22
HANOVER COUNTY,0,4,1,6,2,5,18
HARRISONBURG,1,4,4,0,0,0,9
HENRICO COUNTY,6,17,15,18,8,8,72
HENRY COUNTY,0,2,12,9,4,1,28
HIGHLAND COUNTY,0,1,0,0,0,0,1
HOPEWELL,1,1,1,1,0,0,4
ISLE OF WIGHT,0,4,2,7,3,0,16
JAMES CITY COUNTY,0,4,6,5,0,0,15
KING & QUEEN COUNTY,0,0,1,2,0,0,3
KING GEORGE COUNTY,0,0,1,3,1,0,5
KING WILLIAM COUNTY,0,0,1,0,1,0,2
LANCASTER COUNTY,0,0,1,3,1,1,6
LEE COUNTY,0,0,5,5,0,0,10
,"Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007",,,
,,,Page 37,,,,
